Document,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.0156,0.05526,0.4793,0.06181,0.02352,0.02878,0.06611,0.05578,0.09964,0.0367,0.0479,0.0296
2,0.00745,0.0385,0.05088,0.03989,0.01268,0.0158,0.02899,0.03408,0.33441,0.01826,0.02441,0.01624
3,0.01705,0.05075,0.06052,0.3733,0.0381,0.05109,0.05052,0.10702,0.09879,0.04329,0.05594,0.05361
4,0.00368,0.00643,0.01528,0.00971,0.00441,0.00599,0.88544,0.0095,0.00974,0.01517,0.02889,0.00576
5,0.56368,0.02176,0.02569,0.02658,0.02767,0.03167,0.03017,0.02514,0.02339,0.03935,0.03467,0.02945
6,0.80972,0.01343,0.01552,0.01611,0.01678,0.01897,0.0182,0.01533,0.01429,0.02326,0.0207,0.0177
7,0.00382,0.00503,0.00515,0.00957,0.90584,0.01771,0.00512,0.00597,0.00579,0.00595,0.00612,0.02392
8,0.00603,0.0152,0.80538,0.02621,0.00873,0.01118,0.02886,0.02338,0.02688,0.01562,0.02118,0.01135
9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.01563,0.54183,0.05542,0.04842,0.02698,0.03041,0.04309,0.04369,0.09242,0.03267,0.03846,0.03099
11,0.00509,0.00755,0.00876,0.01906,0.03985,0.05195,0.00854,0.01011,0.00954,0.01002,0.01058,0.77195
12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.86375,0.00937,0.01127,0.01137,0.0114,0.01317,0.01343,0.01104,0.01015,0.01743,0.01531,0.0123
16,0.00856,0.0119,0.01399,0.03539,0.03228,0.1723,0.01443,0.01718,0.01543,0.01784,0.01903,0.07934
17,0.79527,0.01473,0.01692,0.0174,0.01781,0.02025,0.01968,0.0167,0.01559,0.02469,0.02215,0.01882
18,0.84282,0.01127,0.01301,0.01334,0.01363,0.01552,0.01514,0.01283,0.01195,0.01902,0.01705,0.01443
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.93543,0.00462,0.00535,0.00549,0.0056,0.00639,0.00621,0.00528,0.00491,0.00781,0.007,0.00593
21,0.01735,0.02448,0.02564,0.054,0.36663,0.11051,0.02533,0.03098,0.02917,0.02933,0.03062,0.1645
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.86313,0.0094,0.01114,0.01141,0.01165,0.0135,0.01331,0.01084,0.01011,0.01761,0.01537,0.01253
24,0.00914,0.02432,0.04792,0.46619,0.01912,0.02619,0.03285,0.069,0.04611,0.02671,0.03585,0.02745
25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,0.01316,0.03284,0.04246,0.32702,0.03272,0.04921,0.03942,0.07568,0.05497,0.03816,0.04812,0.05027
27,0.83566,0.01181,0.01361,0.01397,0.01429,0.01625,0.0158,0.01342,0.01252,0.01979,0.01777,0.0151
28,0.0155,0.08307,0.27824,0.06833,0.02537,0.03103,0.07349,0.06455,0.15784,0.0411,0.05381,0.0316
29,0.00855,0.04231,0.13777,0.05093,0.01639,0.02062,0.05151,0.04469,0.10256,0.02835,0.03868,0.02102
30,0.01521,0.05111,0.05936,0.29674,0.03679,0.04793,0.04757,0.09628,0.09913,0.04068,0.05198,0.05162
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,0.01343,0.04604,0.54406,0.05495,0.01989,0.02462,0.05988,0.05233,0.08531,0.03206,0.04234,0.0251
33,0.01163,0.5363,0.04433,0.03741,0.02041,0.02326,0.03406,0.03328,0.07393,0.02552,0.0302,0.02369
34,0.56387,0.02412,0.02842,0.02899,0.02951,0.03379,0.03325,0.02794,0.02585,0.04234,0.03765,0.03145
35,0.0154,0.02078,0.02229,0.04529,0.3503,0.09994,0.02205,0.02648,0.02488,0.02582,0.02679,0.15631
36,0.91631,0.00589,0.00687,0.00707,0.00731,0.00832,0.00804,0.00673,0.00628,0.0103,0.00915,0.00775
37,0.95249,0.00336,0.00388,0.00401,0.00417,0.00474,0.00455,0.0038,0.00357,0.00583,0.00518,0.00441
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.00796,0.01854,0.03065,0.06671,0.01382,0.0179,0.02496,0.36248,0.03261,0.01936,0.02562,0.01822
