Topic 0,"fire: 0.03419, koresh: 0.02497, police: 0.02239, batf: 0.01714, agent: 0.01685, compound: 0.01635, criminal: 0.01569, tank: 0.01295, children: 0.01204, waco: 0.01169"
Topic 1,"control: 0.10213, weapon: 0.09146, firearm: 0.08709, bill: 0.0648, rate: 0.05612, crime: 0.05554, license: 0.05201, carry: 0.04196, person: 0.03359, owner: 0.03198"
Topic 2,"american: 0.05142, south: 0.04173, group: 0.02563, francisco: 0.01652, intelligence: 0.01613, information: 0.01563, anti: 0.01541, african: 0.01438, report: 0.01389, bullock: 0.01247"
Topic 3,"card: 0.18825, driver: 0.14871, mode: 0.05983, support: 0.041, ethernet: 0.02615, detector: 0.02461, resolution: 0.0214, radar: 0.02066, graphic: 0.0189, diamond: 0.01735"
Topic 4,"base: 0.07911, double: 0.07344, myer: 0.07218, pitcher: 0.05649, keyboard: 0.05637, extra: 0.04497, pitch: 0.03977, jack: 0.03095, weekend: 0.02612, inning: 0.02476"
Topic 5,"state: 0.06768, right: 0.04831, government: 0.04631, american: 0.02166, congres: 0.01763, insurance: 0.01278, country: 0.0125, amendment: 0.01209, private: 0.01196, federal: 0.01185"
Topic 6,"military: 0.05751, house: 0.04767, civilian: 0.0233, organization: 0.02275, national: 0.02231, terrorist: 0.01988, panel: 0.01794, policy: 0.01771, campaign: 0.0119, corp: 0.01188"
Topic 7,"image: 0.04891, software: 0.03942, system: 0.0308, graphic: 0.03063, package: 0.0249, version: 0.02207, avail: 0.02158, tool: 0.02076, support: 0.01745, user: 0.01712"
Topic 8,"bike: 0.02296, front: 0.01438, like: 0.01422, back: 0.01362, right: 0.0127, mile: 0.01124, left: 0.01112, well: 0.01029, side: 0.0099, look: 0.00955"
Topic 9,"window: 0.18756, color: 0.03953, display: 0.03212, server: 0.02771, mouse: 0.02736, manager: 0.02515, microsoft: 0.02222, screen: 0.02017, program: 0.0185, client: 0.01747"
Topic 10,"pain: 0.04712, ignore: 0.03268, feeling: 0.02061, abortion: 0.0192, sick: 0.01785, substance: 0.01773, traditional: 0.01483, rather: 0.01422, taking: 0.01364, dose: 0.01358"
Topic 11,"friend: 0.0878, mine: 0.07348, ticket: 0.05195, disclaimer: 0.03326, letter: 0.03236, indiana: 0.02695, interrupt: 0.02515, crack: 0.02419, nist: 0.02328, opinion: 0.02179"
Topic 12,"british: 0.0503, iraq: 0.02907, segment: 0.02322, keith: 0.02293, iraqi: 0.02205, kuwait: 0.02118, darren: 0.01898, vatican: 0.01828, indirect: 0.01813, finish: 0.01662"
Topic 13,"david: 0.11484, count: 0.07132, cros: 0.06389, shit: 0.03099, definite: 0.02961, void: 0.02882, wood: 0.02512, colorado: 0.02466, prophecy: 0.0242, gotten: 0.02346"
