Topic 0,"weapon: 0.05095, fire: 0.04893, koresh: 0.03562, batf: 0.02443, compound: 0.02397, military: 0.02003, david: 0.01831, agent: 0.018, tank: 0.01691, waco: 0.01665"
Topic 1,"kinsey: 0.08202, thou: 0.02045, knife: 0.01965, storm: 0.01238, identical: 0.01163, reputation: 0.0109, smell: 0.01048, photo: 0.00968, principal: 0.0094, expression: 0.00911"
Topic 2,"francisco: 0.01883, anti: 0.01605, african: 0.01577, south: 0.01526, bullock: 0.01409, instruction: 0.01336, devil: 0.01333, sunday: 0.01238, tuesday: 0.01213, wednesday: 0.01202"
Topic 3,"modem: 0.09128, hello: 0.04723, ethernet: 0.03384, detector: 0.032, radar: 0.02855, internal: 0.02718, cache: 0.0243, customer: 0.0236, accelerator: 0.01904, baud: 0.01698"
Topic 4,"myer: 0.06549, event: 0.02463, circle: 0.0237, launcher: 0.01724, viru: 0.01617, expose: 0.01507, typing: 0.01376, orgasm: 0.01343, attribute: 0.01276, fredericton: 0.01191"
Topic 5,"state: 0.05955, government: 0.05632, right: 0.05361, american: 0.02659, private: 0.02124, bill: 0.01856, court: 0.01558, country: 0.0135, amendment: 0.01333, citizen: 0.01329"
Topic 6,"dream: 0.02977, panel: 0.02931, defenseman: 0.0168, aclu: 0.01458, govt: 0.01457, yassin: 0.01409, terrorist: 0.01315, curs: 0.01165, deir: 0.01016, emission: 0.0088"
Topic 7,"book: 0.15642, reference: 0.03899, page: 0.02925, guide: 0.02251, subscribe: 0.01393, bell: 0.01194, revis: 0.01179, micro: 0.01048, publisher: 0.00931, contain: 0.00921"
Topic 8,"like: 0.02323, time: 0.01642, think: 0.01276, know: 0.01254, good: 0.01251, real: 0.01176, well: 0.01152, much: 0.01069, thing: 0.01055, work: 0.01024"
Topic 9,"window: 0.09692, problem: 0.0278, driver: 0.02159, program: 0.02045, using: 0.0198, screen: 0.01957, running: 0.01717, work: 0.01643, mouse: 0.01623, memory: 0.01594"
Topic 10,"boot: 0.04591, ignore: 0.04354, abortion: 0.02478, substance: 0.02089, western: 0.01791, colorado: 0.01791, dose: 0.01722, frank: 0.01714, shit: 0.01708, headache: 0.01626"
