## 100 Topics ##
lda u_mass Coherence: -4.31968
lda c_v Coherence: 0.42032
lda Topic - Diversity Coherence: 0.885

Topic 0,"fire: 0.03433, koresh: 0.02505, police: 0.02144, batf: 0.0172, agent: 0.01691, compound: 0.01643, criminal: 0.01569, tank: 0.013, children: 0.01214, waco: 0.01173"
Topic 1,"control: 0.10218, weapon: 0.09144, firearm: 0.08699, bill: 0.06459, rate: 0.05626, crime: 0.05502, license: 0.05186, carry: 0.04188, person: 0.03321, owner: 0.03186"
Topic 2,"american: 0.05127, south: 0.04095, group: 0.02762, francisco: 0.01627, intelligence: 0.01591, information: 0.01581, anti: 0.01528, report: 0.01528, african: 0.01417, radio: 0.01253"
Topic 3,"card: 0.18893, driver: 0.14917, mode: 0.05992, support: 0.04046, ethernet: 0.02621, detector: 0.02467, resolution: 0.02142, radar: 0.02071, graphic: 0.01892, diamond: 0.01739"
Topic 4,"base: 0.07902, double: 0.07346, myer: 0.07219, pitcher: 0.0565, keyboard: 0.05639, extra: 0.04486, pitch: 0.03977, jack: 0.03098, weekend: 0.02613, inning: 0.02478"
Topic 5,"state: 0.06771, right: 0.04816, government: 0.04624, american: 0.02165, congres: 0.01765, insurance: 0.01279, country: 0.01251, amendment: 0.0121, private: 0.01195, federal: 0.01182"
Topic 6,"military: 0.05834, house: 0.04713, civilian: 0.0232, national: 0.02249, organization: 0.02223, terrorist: 0.01984, panel: 0.01791, policy: 0.01764, campaign: 0.01184, corp: 0.01184"
Topic 7,"image: 0.04889, software: 0.03953, system: 0.0307, graphic: 0.0306, package: 0.02488, version: 0.02219, avail: 0.02209, tool: 0.02072, support: 0.01729, data: 0.01712"
Topic 8,"bike: 0.02303, front: 0.01439, like: 0.01418, back: 0.01365, right: 0.01263, mile: 0.01127, left: 0.01116, well: 0.01029, side: 0.00989, look: 0.00947"
Topic 9,"window: 0.18795, color: 0.03993, display: 0.03219, server: 0.02768, mouse: 0.02744, manager: 0.0252, microsoft: 0.02227, screen: 0.02062, program: 0.01841, client: 0.0173"
Topic 10,"pain: 0.04712, ignore: 0.03309, feeling: 0.02065, abortion: 0.01921, sick: 0.01789, substance: 0.01753, traditional: 0.01481, rather: 0.01447, taking: 0.01361, dose: 0.01358"
Topic 11,"friend: 0.08794, mine: 0.0732, ticket: 0.05172, disclaimer: 0.03311, letter: 0.03266, indiana: 0.02684, interrupt: 0.02466, crack: 0.02407, nist: 0.02315, opinion: 0.0218"
Topic 12,"british: 0.0502, iraq: 0.029, segment: 0.02319, keith: 0.02288, iraqi: 0.022, kuwait: 0.02114, darren: 0.01894, vatican: 0.01824, indirect: 0.01809, finish: 0.01667"
Topic 13,"david: 0.1135, count: 0.0711, cros: 0.06398, shit: 0.03101, definite: 0.02984, void: 0.02886, wood: 0.02516, colorado: 0.0247, prophecy: 0.02423, quot: 0.02328"
Topic 14,"part: 0.07117, attack: 0.03787, break: 0.03659, market: 0.03527, patent: 0.03407, algorithm: 0.02608, suppose: 0.02509, rider: 0.02337, method: 0.02201, manufacturer: 0.02104"
Topic 15,"kinsey: 0.11033, behavior: 0.04129, exhibit: 0.0401, label: 0.03539, damn: 0.02159, messiah: 0.01877, billboard: 0.01874, liberal: 0.01777, pointing: 0.01744, ansi: 0.01706"
Topic 16,"encryption: 0.05377, chip: 0.05231, clipper: 0.04812, escrow: 0.0298, security: 0.02919, block: 0.02666, secret: 0.02385, algorithm: 0.02288, encrypt: 0.02122, number: 0.0197"
Topic 17,"israel: 0.0733, israeli: 0.04992, arab: 0.04822, jewish: 0.03633, land: 0.02627, palestinian: 0.02622, peace: 0.0226, state: 0.01795, right: 0.01543, anti: 0.01322"
Topic 18,"problem: 0.06089, system: 0.04717, work: 0.04187, machine: 0.03198, memory: 0.02292, running: 0.02154, install: 0.01927, time: 0.01717, using: 0.01643, fine: 0.01451"
Topic 19,"restraint: 0.02547, catch: 0.02468, mask: 0.02304, mistake: 0.02223, comparison: 0.01992, ignorant: 0.01723, andy: 0.01557, bright: 0.01509, rational: 0.01504, listening: 0.01499"
Topic 20,"work: 0.02103, money: 0.01947, thing: 0.01874, much: 0.01681, make: 0.01464, good: 0.01454, well: 0.0144, little: 0.01428, year: 0.01421, like: 0.01389"
Topic 21,"ottoman: 0.03175, pres: 0.02939, turkey: 0.02376, istanbul: 0.02303, french: 0.02089, paragraph: 0.02079, empire: 0.02018, london: 0.01978, york: 0.01684, east: 0.01555"
Topic 22,"port: 0.13132, serial: 0.05914, channel: 0.04636, parallel: 0.03319, register: 0.03165, tube: 0.02819, remote: 0.02656, sony: 0.02619, location: 0.02408, stereo: 0.02068"
Topic 23,"reading: 0.06695, advantage: 0.05019, worth: 0.03721, equipment: 0.03559, local: 0.03342, cheaper: 0.02428, learning: 0.0225, forgot: 0.02195, succes: 0.02031, learn: 0.01846"
Topic 24,"value: 0.06453, error: 0.05312, event: 0.04362, first: 0.01925, problem: 0.01913, visual: 0.01667, fail: 0.01643, display: 0.01489, create: 0.01453, string: 0.01341"
Topic 25,"loop: 0.04964, pitching: 0.04575, efficient: 0.0418, custom: 0.04175, wrote: 0.0405, staff: 0.03628, formula: 0.03596, drag: 0.02903, dialog: 0.02862, starter: 0.02698"
Topic 26,"canada: 0.05533, germany: 0.03773, german: 0.03608, nazi: 0.03485, europe: 0.0276, countrie: 0.02595, russia: 0.02442, russian: 0.02441, world: 0.0236, hitler: 0.02271"
Topic 27,"know: 0.05617, anyone: 0.05422, thank: 0.04657, please: 0.04038, like: 0.03418, post: 0.02591, help: 0.02478, question: 0.01975, someone: 0.01895, want: 0.01789"
Topic 28,"conference: 0.05561, division: 0.0374, city: 0.03386, registration: 0.02815, girl: 0.02166, trad: 0.02159, captain: 0.02099, hotel: 0.02005, held: 0.01488, form: 0.01487"
Topic 29,"model: 0.14399, code: 0.12735, include: 0.05986, main: 0.03374, poster: 0.03269, suit: 0.02396, original: 0.02328, sample: 0.02144, null: 0.02037, expand: 0.02013"
Topic 30,"problem: 0.08209, cause: 0.05674, disease: 0.04255, normal: 0.02205, common: 0.0202, infection: 0.01761, affect: 0.01517, weight: 0.01512, cold: 0.01381, negative: 0.01268"
Topic 31,"drug: 0.07209, overall: 0.01791, survey: 0.01631, effect: 0.01465, percentage: 0.01461, report: 0.01333, prevention: 0.01324, reduce: 0.01266, orientation: 0.01226, subsequent: 0.0121"
Topic 32,"drive: 0.15714, disk: 0.102, scsi: 0.05944, hard: 0.05166, controller: 0.03947, floppy: 0.02643, system: 0.01859, software: 0.01684, transfer: 0.016, external: 0.01537"
Topic 33,"clas: 0.08584, choice: 0.06318, belt: 0.03056, classe: 0.02576, angle: 0.02514, dale: 0.02468, middle: 0.02431, uiuc: 0.02315, drum: 0.02193, sticker: 0.02092"
Topic 34,"application: 0.04366, widget: 0.03118, library: 0.02739, motif: 0.02633, source: 0.02585, object: 0.02554, resource: 0.02146, subject: 0.01777, code: 0.01663, export: 0.01636"
