Topic 0,"carbine: 0.00295, sega: 0.0025, folding: 0.00231, opel: 0.00222, murdoch: 0.00219, bezel: 0.00218, explosion: 0.00218, ccfa: 0.00216, grenade: 0.00212, fork: 0.00212"
Topic 1,"bullock: 0.00535, gopher: 0.00341, compaq: 0.00268, censor: 0.0025, dale: 0.00249, sounder: 0.00234, forgery: 0.00223, theta: 0.0022, cmap: 0.00219, byproduct: 0.00214"
Topic 2,"darren: 0.00357, nasb: 0.00338, glock: 0.0029, yalcin: 0.00283, smoker: 0.00262, crossroad: 0.00258, patent: 0.00223, boiler: 0.0022, chop: 0.00216, ankle: 0.00214"
Topic 3,"latin: 0.00316, gazan: 0.00307, hani: 0.00262, proclamation: 0.00252, jefferson: 0.0025, shirak: 0.00245, csrc: 0.00233, dude: 0.00216, gram: 0.00216, legalizing: 0.00214"
Topic 4,"wavefunction: 0.00327, boogie: 0.00266, propriety: 0.00265, panama: 0.00262, buick: 0.00259, packet: 0.00255, doorbell: 0.0025, vincent: 0.00248, utopia: 0.00232, ransom: 0.00231"
Topic 5,"rushdie: 0.00456, kong: 0.00375, vein: 0.00289, valentine: 0.00281, astrology: 0.0028, predictive: 0.00279, fore: 0.00277, puny: 0.00276, bake: 0.00272, beta: 0.00269"
Topic 6,"maria: 0.01078, magnet: 0.00325, repent: 0.00312, interoperate: 0.00309, spanish: 0.00306, preceeding: 0.00302, clad: 0.00301, fenholt: 0.00299, bark: 0.00296, haiti: 0.00294"
Topic 7,"image: 0.06302, jpeg: 0.01751, tiff: 0.00501, processing: 0.00375, instrument: 0.00371, viewer: 0.0035, switzerland: 0.003, color: 0.00293, banner: 0.00288, propane: 0.00284"
Topic 8,"bike: 0.0197, engine: 0.00827, tire: 0.00665, ride: 0.00656, motorcycle: 0.00608, wheel: 0.00598, road: 0.00555, mile: 0.00476, front: 0.0047, brake: 0.0046"
Topic 9,"allocation: 0.0041, clothing: 0.00334, malaysia: 0.00286, emission: 0.00285, brook: 0.00263, judah: 0.00245, hart: 0.00245, worden: 0.00243, cursing: 0.00242, esther: 0.0024"
Topic 10,"ncsl: 0.00603, cobb: 0.00335, wash: 0.00315, lease: 0.00309, mazda: 0.00294, asimov: 0.00293, tiniest: 0.00287, aspartame: 0.00279, shovel: 0.00277, doom: 0.00274"
Topic 11,"muhammad: 0.00537, localtalk: 0.00414, zinc: 0.00351, apologist: 0.00339, ruler: 0.00337, kosher: 0.00334, dorthy: 0.00333, toner: 0.00331, prosecution: 0.0033, denali: 0.00325"
Topic 12,"midi: 0.00276, columbu: 0.00228, verb: 0.0022, palm: 0.00216, covington: 0.00211, winfax: 0.00209, shortest: 0.00208, kuwaiti: 0.00203, vinayak: 0.00201, craig: 0.00198"
Topic 13,"randy: 0.00391, godhead: 0.00325, projectile: 0.00315, emerson: 0.00306, bomb: 0.00279, ingredient: 0.00272, framing: 0.00254, examiner: 0.00253, chunk: 0.00253, corbin: 0.00246"
Topic 14,"singer: 0.0026, censorship: 0.00253, daniel: 0.00234, whore: 0.00233, kermit: 0.00225, denni: 0.00223, thug: 0.00223, microcode: 0.00216, cooper: 0.00215, bandit: 0.00214"
Topic 15,"tulsa: 0.00319, photograph: 0.00263, somalia: 0.00258, rash: 0.00255, trek: 0.00254, magick: 0.00252, subsidize: 0.00252, optimistic: 0.00248, leary: 0.00244, sexist: 0.00244"
Topic 16,"neuron: 0.00343, bedouin: 0.00328, haul: 0.00326, drank: 0.00315, subtract: 0.00303, taize: 0.00302, huntsville: 0.00302, distract: 0.00301, queue: 0.00299, clandestine: 0.00299"
Topic 17,"indicator: 0.00568, limbaugh: 0.00553, shea: 0.00389, decimal: 0.00354, marku: 0.00343, courier: 0.00315, janu: 0.00309, redesign: 0.00306, legalization: 0.00304, proving: 0.00294"
Topic 18,"tony: 0.00488, crohn: 0.00403, epoxy: 0.00398, beyer: 0.00396, warsaw: 0.00376, spokesperson: 0.00375, concoct: 0.00374, swift: 0.00364, boer: 0.00358, korean: 0.00349"
Topic 19,"dock: 0.00284, sosa: 0.00276, pomeroy: 0.00259, lawn: 0.00255, solvent: 0.00254, ignite: 0.00254, coloring: 0.00249, preferential: 0.00242, saab: 0.00238, explanatory: 0.00237"
Topic 20,"colonialism: 0.00276, doug: 0.00268, nextstep: 0.00265, offending: 0.00265, schneider: 0.00244, royce: 0.00242, impatient: 0.00238, combustion: 0.00233, controlling: 0.00225, scanning: 0.00224"
Topic 21,"photography: 0.00445, hostage: 0.00401, rosicrucian: 0.00389, wichita: 0.00348, austin: 0.00339, bicycle: 0.00331, sendmail: 0.0032, subjectivist: 0.00303, reinventing: 0.00298, benz: 0.00296"
Topic 22,"symbol: 0.0039, diesel: 0.0038, pedophile: 0.00379, incoming: 0.0036, cement: 0.00302, provid: 0.00297, ballou: 0.00293, transducer: 0.00281, jody: 0.0028, clancy: 0.00279"
Topic 23,"rama: 0.00306, demon: 0.00271, intruder: 0.00265, directing: 0.00258, tektronix: 0.00252, spice: 0.00249, poland: 0.00246, cuba: 0.00246, ingle: 0.00245, omnipotence: 0.00244"
Topic 24,"benefactor: 0.00462, tamu: 0.00361, integra: 0.00346, thick: 0.00342, flop: 0.00329, beam: 0.00328, centipede: 0.00322, garlic: 0.00322, ashley: 0.00307, annal: 0.00302"
Topic 25,"exhibit: 0.00444, malcolm: 0.00278, spitting: 0.00255, sandwich: 0.00253, semper: 0.00247, narrative: 0.00245, purse: 0.00241, babble: 0.00239, purdue: 0.00238, northeast: 0.00237"
Topic 26,"irving: 0.00236, pushbutton: 0.00234, bernadette: 0.00229, leon: 0.0022, strand: 0.00218, circulating: 0.00213, flyback: 0.00212, origin: 0.0021, monochrome: 0.0021, jason: 0.0021"
