Topic 0,"mormon: 0.03798, marriage: 0.02811, adam: 0.02518, marri: 0.01793, salt: 0.01349, carbine: 0.01256, smith: 0.01115, proceed: 0.01032, spouse: 0.01, judaism: 0.00981"
Topic 1,"forgot: 0.0225, wisdom: 0.01461, baby: 0.01416, farm: 0.01209, trademark: 0.01145, metropolitan: 0.01123, hunting: 0.01061, clause: 0.00898, hudson: 0.00861, jonathan: 0.00795"
Topic 2,"leaf: 0.01847, vancouver: 0.01769, king: 0.01307, appear: 0.01195, flame: 0.01061, sabre: 0.01053, comic: 0.00997, buffalo: 0.00945, wing: 0.00921, flyer: 0.009"
Topic 3,"bell: 0.02869, moncton: 0.01675, rent: 0.01342, fraud: 0.01281, gazan: 0.01224, queen: 0.01111, norm: 0.01072, harley: 0.01003, echl: 0.01, canadien: 0.00999"
Topic 4,"cell: 0.03387, clutch: 0.03116, gene: 0.01398, bird: 0.01288, resistance: 0.01198, immune: 0.01151, clip: 0.01036, philip: 0.0103, rubber: 0.00964, pedal: 0.00914"
Topic 5,"muslim: 0.06167, cipher: 0.03868, attack: 0.03777, serb: 0.02522, plaintext: 0.02378, abortion: 0.02269, bosnia: 0.02047, bosnian: 0.02007, bobby: 0.01186, serbian: 0.00994"
Topic 6,"state: 0.02401, president: 0.02216, israel: 0.02066, israeli: 0.01475, arab: 0.01279, government: 0.01009, american: 0.00986, year: 0.00945, congres: 0.00912, country: 0.00853"
Topic 7,"master: 0.05355, slave: 0.03447, jumper: 0.03028, handbook: 0.02152, bullock: 0.02122, switzerland: 0.02095, francisco: 0.01757, amateur: 0.01482, oscillator: 0.01347, prince: 0.01177"
Topic 8,"sector: 0.01811, fare: 0.01517, tract: 0.01128, fuck: 0.01107, allergic: 0.01057, elia: 0.00963, calif: 0.00958, comparative: 0.00865, alaska: 0.00854, unknown: 0.00824"
Topic 9,"temperature: 0.03377, ethernet: 0.0316, april: 0.02294, comet: 0.02277, weather: 0.01743, thermal: 0.01638, meter: 0.01622, norway: 0.01599, radiation: 0.0147, crater: 0.01215"
Topic 10,"objective: 0.03603, rock: 0.02759, morality: 0.01752, theist: 0.01694, commit: 0.01688, intellectual: 0.01636, talent: 0.01468, theism: 0.01468, hmmm: 0.01433, being: 0.01296"
Topic 11,"michael: 0.04446, wall: 0.02374, prevention: 0.02319, iraq: 0.02026, cylinder: 0.01827, planning: 0.01614, iraqi: 0.01606, kuwait: 0.01545, safety: 0.01461, mitchell: 0.01309"
Topic 12,"healthy: 0.01647, grade: 0.01358, denver: 0.0127, antibiotic: 0.01257, latch: 0.01192, temporary: 0.01112, adirondack: 0.01086, lyme: 0.01019, margin: 0.00995, listserv: 0.00871"
Topic 13,"life: 0.02779, human: 0.02545, exist: 0.02335, evidence: 0.01746, universe: 0.01544, love: 0.01515, hell: 0.01441, psalm: 0.014, nature: 0.01336, existence: 0.01089"
Topic 14,"space: 0.05644, nasa: 0.02201, earth: 0.02134, launch: 0.01775, orbit: 0.01466, mission: 0.01438, satellite: 0.01431, moon: 0.01372, planet: 0.01355, system: 0.0123"
Topic 15,"repair: 0.03167, toxic: 0.01277, govt: 0.01233, contribution: 0.01083, tulsa: 0.01019, somalia: 0.00887, addict: 0.00812, priesthood: 0.00772, pill: 0.00752, deposit: 0.00745"
Topic 16,"virtual: 0.0287, stone: 0.02463, navy: 0.02411, icon: 0.0198, reserve: 0.01909, packet: 0.01862, tone: 0.01563, reality: 0.01543, physic: 0.01495, temp: 0.01464"
Topic 17,"power: 0.17124, heat: 0.0477, supp: 0.03727, cold: 0.02525, tower: 0.0197, indicator: 0.01812, sink: 0.01581, limbaugh: 0.01141, cooling: 0.01023, electric: 0.01013"
Topic 18,"face: 0.08272, memorial: 0.01873, hamilton: 0.01805, tony: 0.01797, reboot: 0.01542, impose: 0.01398, holocaust: 0.01378, wive: 0.01315, dogma: 0.01248, semitic: 0.01208"
Topic 19,"price: 0.06415, sale: 0.04372, offer: 0.04345, sell: 0.03574, condition: 0.02308, shipping: 0.0198, asking: 0.01759, best: 0.01558, excellent: 0.01484, original: 0.01383"
Topic 20,"weapon: 0.04362, firearm: 0.03372, crime: 0.03181, police: 0.02486, criminal: 0.02042, control: 0.01847, death: 0.01782, military: 0.01674, kill: 0.01377, safety: 0.01372"
Topic 21,"cost: 0.06113, water: 0.03156, service: 0.02935, canada: 0.02422, insurance: 0.02185, money: 0.02072, rate: 0.02045, market: 0.01981, dealer: 0.01831, care: 0.01763"
Topic 22,"energy: 0.03184, fuel: 0.0279, wave: 0.02341, rider: 0.01739, tank: 0.01519, rockefeller: 0.01421, biker: 0.01163, binghamton: 0.01139, twin: 0.01069, stroke: 0.01037"
Topic 23,"remark: 0.0293, whoever: 0.02144, shut: 0.01927, contract: 0.01628, bone: 0.01515, bullshit: 0.01266, charle: 0.0122, suit: 0.01214, joke: 0.01156, tail: 0.01146"
Topic 24,"motion: 0.03284, physical: 0.02489, star: 0.02131, isle: 0.02081, beam: 0.01958, dust: 0.01864, rating: 0.01642, earn: 0.01497, nine: 0.01222, thick: 0.01221"
Topic 25,"south: 0.01673, jewish: 0.01499, american: 0.01423, land: 0.01254, anti: 0.01147, british: 0.01012, member: 0.00889, america: 0.00873, organization: 0.00805, world: 0.00801"
Topic 26,"chip: 0.02466, encryption: 0.02177, public: 0.02001, security: 0.0178, government: 0.01648, phone: 0.0164, clipper: 0.01601, algorithm: 0.01495, privacy: 0.0149, system: 0.01443"
Topic 27,"detector: 0.03451, radar: 0.0299, crash: 0.02041, passenger: 0.01966, trap: 0.01599, finland: 0.01399, astronaut: 0.0131, paradox: 0.01261, morgan: 0.01122, notebook: 0.0103"
Topic 28,"lost: 0.02559, city: 0.02448, colorado: 0.0223, score: 0.0203, york: 0.01697, west: 0.01418, seattle: 0.01278, chicago: 0.01264, baltimore: 0.0126, minnesota: 0.01174"
Topic 29,"vaccine: 0.02045, shadow: 0.01955, race: 0.01786, inspection: 0.01263, upper: 0.01162, hellman: 0.01123, stuffit: 0.01075, documentary: 0.01024, thier: 0.00973, voluntary: 0.00943"
Topic 30,"drive: 0.15347, disk: 0.05673, scsi: 0.05531, hard: 0.03805, controller: 0.03673, wire: 0.0231, tape: 0.01758, device: 0.01629, data: 0.0159, neutral: 0.0133"
Topic 31,"religion: 0.09419, atheist: 0.08613, belief: 0.06639, atheism: 0.05425, cheer: 0.02107, music: 0.01849, kent: 0.01517, christian: 0.01257, secular: 0.01078, preach: 0.01061"
Topic 32,"cros: 0.04277, persecution: 0.02101, stupidity: 0.01305, inkjet: 0.0123, curs: 0.01224, alan: 0.01213, revolution: 0.01141, inject: 0.01093, erzurum: 0.0107, province: 0.01028"
Topic 33,"window: 0.06668, system: 0.0327, driver: 0.02477, card: 0.02368, problem: 0.02084, memory: 0.01691, using: 0.01571, machine: 0.01568, work: 0.01565, software: 0.01534"
Topic 34,"registration: 0.03541, curse: 0.01583, magnetic: 0.0156, ottawa: 0.01533, dalla: 0.01356, organism: 0.01057, wanting: 0.00921, district: 0.00747, wolf: 0.0073, projector: 0.00686"
Topic 35,"error: 0.03736, widget: 0.02465, line: 0.02446, value: 0.02212, program: 0.0216, function: 0.01946, output: 0.01843, character: 0.01839, event: 0.01785, echo: 0.01762"
Topic 36,"panel: 0.034, outlet: 0.02696, online: 0.02568, canon: 0.02007, search: 0.01867, gopher: 0.01739, telnet: 0.01556, wire: 0.01468, archie: 0.01396, mime: 0.01257"
Topic 37,"plane: 0.03467, metal: 0.02172, circle: 0.01748, wood: 0.01606, cape: 0.01553, depth: 0.01362, sphere: 0.0127, seizure: 0.01022, river: 0.00945, vacuum: 0.00879"
Topic 38,"ottoman: 0.02829, istanbul: 0.02052, london: 0.01601, turkey: 0.01576, empire: 0.01245, york: 0.01131, university: 0.01084, lesson: 0.01008, ankara: 0.01003, eastern: 0.00991"
Topic 39,"drug: 0.09141, quote: 0.03049, applicant: 0.01822, dept: 0.01807, carrier: 0.01596, ethic: 0.01298, lander: 0.01195, samuel: 0.00923, silence: 0.00902, powerpc: 0.00875"
Topic 40,"team: 0.05552, year: 0.04484, player: 0.03477, season: 0.02641, play: 0.0253, hockey: 0.02267, league: 0.01912, last: 0.01587, baseball: 0.01298, average: 0.0117"
Topic 41,"digest: 0.02066, naval: 0.01785, lady: 0.00986, garrett: 0.009, mira: 0.00878, gainey: 0.00744, thankful: 0.00683, ellipse: 0.00681, teeth: 0.0067, progression: 0.00645"
Topic 42,"people: 0.02572, right: 0.01359, believe: 0.00764, many: 0.00715, claim: 0.00709, argument: 0.0069, mean: 0.00678, fact: 0.00676, make: 0.00575, reason: 0.00565"
Topic 43,"cancer: 0.06287, japanese: 0.03766, plate: 0.03266, acid: 0.02634, muscle: 0.02533, clayton: 0.01835, sperm: 0.01808, mono: 0.01354, discharge: 0.01351, decrease: 0.0125"
Topic 44,"club: 0.04394, islam: 0.03314, islamic: 0.03188, coverage: 0.01756, starter: 0.01474, maine: 0.01354, spherical: 0.01245, bullpen: 0.01084, felony: 0.00971, refrain: 0.00898"
Topic 45,"easter: 0.01893, bomb: 0.01789, killer: 0.01212, blah: 0.01204, forgotten: 0.01119, segment: 0.011, sexuality: 0.01084, lamp: 0.01057, fortunate: 0.01051, evangelical: 0.01005"
Topic 46,"mike: 0.03167, steve: 0.02872, dave: 0.02608, mark: 0.02574, brian: 0.01964, scott: 0.01596, doug: 0.01425, phil: 0.01419, peter: 0.01318, thoma: 0.01306"
Topic 47,"devil: 0.02725, height: 0.02538, vote: 0.02502, islander: 0.01961, width: 0.01823, polygon: 0.01508, bayonet: 0.01306, boeing: 0.01236, crush: 0.01091, technician: 0.01066"
Topic 48,"font: 0.05169, providence: 0.01839, galaxy: 0.01385, netcom: 0.00993, wager: 0.00972, panther: 0.00961, spin: 0.0096, convertible: 0.00933, scout: 0.00924, carcinogenic: 0.0082"
Topic 49,"front: 0.02025, turn: 0.01983, left: 0.01769, right: 0.01416, back: 0.01309, side: 0.01063, pull: 0.01046, wheel: 0.01044, motorcycle: 0.0101, lock: 0.00934"
Topic 50,"system: 0.02265, avail: 0.01946, software: 0.01683, include: 0.01644, user: 0.0162, data: 0.01531, application: 0.01447, graphic: 0.0142, computer: 0.01369, package: 0.01357"
Topic 51,"monitor: 0.0448, connect: 0.02735, circuit: 0.02631, video: 0.02355, signal: 0.02264, switch: 0.0226, input: 0.0214, current: 0.01728, audio: 0.01507, external: 0.01391"
Topic 52,"nuclear: 0.04913, grand: 0.02302, alarm: 0.02123, dont: 0.02068, kilometer: 0.01931, horse: 0.01775, fitting: 0.01515, craft: 0.01512, sail: 0.01095, coat: 0.01053"
Topic 53,"went: 0.01796, people: 0.01303, told: 0.01237, came: 0.01221, home: 0.01012, took: 0.00961, start: 0.00876, night: 0.00866, door: 0.00855, room: 0.00808"
Topic 54,"contrast: 0.01331, impulse: 0.01271, seller: 0.01213, salonica: 0.01135, inner: 0.0106, gras: 0.00981, intergraph: 0.00935, bradley: 0.0093, blaster: 0.0089, selection: 0.00863"
Topic 55,"bush: 0.0322, logo: 0.02158, reagan: 0.01439, pressing: 0.01289, bolshevik: 0.01119, stretch: 0.00989, prong: 0.0094, circular: 0.0091, statute: 0.00878, mold: 0.00861"
Topic 56,"wiring: 0.04568, symbol: 0.03473, mamma: 0.02875, igor: 0.01545, bare: 0.01507, handshaking: 0.01206, plutonium: 0.00924, wavelength: 0.0083, matting: 0.00762, bigot: 0.00745"
Topic 57,"game: 0.1605, myer: 0.02493, serie: 0.02257, pitcher: 0.01953, boston: 0.01692, ticket: 0.01644, espn: 0.01448, playoff: 0.01398, detroit: 0.01298, toronto: 0.01272"
Topic 58,"trad: 0.03223, captain: 0.02717, cellular: 0.02132, larson: 0.01432, analyst: 0.01302, smoke: 0.01047, female: 0.01042, fake: 0.00999, trading: 0.00971, sweet: 0.00938"
Topic 59,"ground: 0.10403, radio: 0.09359, ring: 0.03951, band: 0.0343, tartar: 0.02733, flat: 0.02428, lift: 0.0191, conductor: 0.0173, slip: 0.01727, volt: 0.01579"
Topic 60,"armenian: 0.04582, turkish: 0.01912, greek: 0.01622, people: 0.01352, village: 0.01252, russian: 0.0122, turk: 0.01081, soldier: 0.01018, kill: 0.00899, government: 0.00878"
Topic 61,"research: 0.01268, science: 0.01184, medical: 0.01161, report: 0.01149, patient: 0.01132, number: 0.01008, study: 0.00967, scientific: 0.00906, health: 0.00846, effect: 0.00846"
Topic 62,"school: 0.05904, student: 0.03024, young: 0.02324, education: 0.02223, college: 0.01885, dream: 0.01776, learning: 0.01363, operate: 0.01338, teacher: 0.013, clas: 0.01166"
Topic 63,"john: 0.02254, gfci: 0.01896, confusion: 0.01688, probability: 0.01613, springfield: 0.01604, henrik: 0.01602, scanner: 0.01457, utica: 0.01263, equation: 0.01096, flavor: 0.01036"
Topic 64,"please: 0.04327, thank: 0.03913, post: 0.03388, mail: 0.02859, anyone: 0.02347, list: 0.02217, send: 0.01965, information: 0.01882, email: 0.01708, know: 0.0156"
Topic 65,"surveillance: 0.0269, johnson: 0.02576, jack: 0.02223, uniform: 0.01928, mmwr: 0.0142, boswell: 0.01353, candidate: 0.01218, yank: 0.01166, viral: 0.01086, fourth: 0.01042"
Topic 66,"license: 0.08706, gateway: 0.03377, custom: 0.02026, batter: 0.01725, beach: 0.01627, thrace: 0.01353, zealand: 0.01193, hath: 0.00954, josh: 0.00922, malaria: 0.00908"
Topic 67,"like: 0.02656, know: 0.01938, time: 0.01718, think: 0.01699, good: 0.01415, real: 0.01357, thing: 0.01293, want: 0.01251, much: 0.01247, well: 0.01245"
Topic 68,"tyre: 0.01574, novell: 0.01396, vista: 0.01198, cart: 0.01013, paperback: 0.00962, occam: 0.00926, symmetric: 0.0091, conform: 0.0086, deviant: 0.00808, lunch: 0.00798"
Topic 69,"blue: 0.07089, green: 0.0452, super: 0.0182, match: 0.01721, double: 0.01669, kick: 0.01663, flag: 0.01568, peripheral: 0.01403, kinda: 0.01401, solder: 0.00935"
Topic 70,"homosexual: 0.05022, university: 0.04736, sexual: 0.03007, male: 0.02955, nazi: 0.02578, german: 0.02457, history: 0.02046, professor: 0.01898, germany: 0.01718, rape: 0.0109"
Topic 71,"bike: 0.06751, engine: 0.04285, mile: 0.03375, road: 0.027, ride: 0.02604, tire: 0.02341, belt: 0.01774, brake: 0.01614, riding: 0.01535, driving: 0.01499"
Topic 72,"black: 0.0787, white: 0.07028, color: 0.05188, colour: 0.02757, neat: 0.01421, yellow: 0.01267, siggraph: 0.01247, raster: 0.01009, amongst: 0.00853, greeting: 0.00692"
Topic 73,"gonna: 0.01749, timer: 0.01446, lewi: 0.01348, cancel: 0.01088, mutual: 0.00981, shelling: 0.00973, investor: 0.0092, blinking: 0.00917, storm: 0.00916, pleas: 0.00909"
Topic 74,"jersey: 0.02564, schedule: 0.01988, aclu: 0.01892, lake: 0.01791, element: 0.01572, admitted: 0.01022, parity: 0.01013, wale: 0.00976, wasp: 0.00842, patrol: 0.00778"
Topic 75,"printer: 0.07596, print: 0.04906, laser: 0.02946, printing: 0.01912, micro: 0.01606, stanley: 0.01574, paper: 0.01431, disc: 0.01144, deskjet: 0.01065, movie: 0.01061"
Topic 76,"button: 0.02413, plot: 0.02241, edge: 0.01825, shell: 0.01778, remote: 0.01672, host: 0.01339, replace: 0.0117, filter: 0.00971, hostname: 0.00894, enhancement: 0.00833"
Topic 77,"david: 0.04866, ohio: 0.02059, frank: 0.01881, arizona: 0.01849, homicide: 0.01651, carter: 0.01239, location: 0.00918, precision: 0.00825, bedroom: 0.0081, wright: 0.00783"
Topic 78,"board: 0.09672, card: 0.07942, apple: 0.06356, chip: 0.05685, motherboard: 0.03007, clock: 0.0277, computer: 0.02484, slot: 0.02417, plug: 0.02332, upgrade: 0.02197"
Topic 79,"fire: 0.03806, children: 0.02678, koresh: 0.02293, batf: 0.01576, agent: 0.01468, compound: 0.01453, tank: 0.01337, report: 0.01128, waco: 0.01071, shot: 0.01021"
Topic 80,"christian: 0.03637, jesu: 0.03081, bible: 0.02559, church: 0.02414, christ: 0.02171, word: 0.01897, lord: 0.01697, paul: 0.01077, faith: 0.01028, scripture: 0.00911"
Topic 81,"option: 0.04733, station: 0.0334, motorola: 0.03124, georgia: 0.02958, design: 0.02793, array: 0.01542, operational: 0.01441, fleet: 0.01285, marc: 0.01251, fuse: 0.0112"
Topic 82,"uart: 0.01325, fort: 0.01275, orange: 0.01246, immaculate: 0.01201, wagon: 0.01196, yard: 0.01027, chuck: 0.00939, bout: 0.00891, toss: 0.00871, regulator: 0.00787"
Topic 83,"file: 0.05067, image: 0.04644, display: 0.01689, program: 0.01523, format: 0.01489, color: 0.01477, server: 0.01389, version: 0.01252, client: 0.00849, jpeg: 0.00845"
Topic 84,"bank: 0.06557, battery: 0.03001, pitt: 0.02687, soon: 0.02202, gordon: 0.02175, latin: 0.01665, surrender: 0.01607, skepticism: 0.01605, shameful: 0.01478, intellect: 0.01429"
Topic 85,"patent: 0.04014, favorite: 0.02005, aluminum: 0.01842, invent: 0.01693, capacity: 0.01666, chinese: 0.01517, insult: 0.01333, liar: 0.01319, fluid: 0.01313, neck: 0.01055"
Topic 86,"suck: 0.04709, tube: 0.04684, arena: 0.03005, substance: 0.02372, pipe: 0.01883, dear: 0.01728, jagr: 0.0168, bottle: 0.01581, handy: 0.01505, nejm: 0.01401"
Topic 87,"formula: 0.01897, riot: 0.0167, dialog: 0.01531, marina: 0.01329, rebuild: 0.0109, veteran: 0.01056, summon: 0.0102, detecting: 0.00828, institut: 0.00804, asset: 0.00796"
Topic 88,"catholic: 0.05885, pope: 0.0198, pistol: 0.01854, collision: 0.01123, dial: 0.01006, bless: 0.01006, henry: 0.00984, ezekiel: 0.00902, pastor: 0.00788, bishop: 0.00762"
Topic 89,"book: 0.08393, page: 0.03303, section: 0.02819, conference: 0.02576, article: 0.02339, information: 0.02058, reference: 0.01918, pres: 0.01867, national: 0.01701, paper: 0.0158"
Topic 90,"disease: 0.04174, light: 0.03575, pain: 0.0246, hole: 0.02387, constant: 0.0143, fill: 0.01321, body: 0.0131, doctor: 0.01261, dark: 0.00964, heart: 0.00954"
Topic 91,"explosive: 0.0259, intel: 0.01845, powerbook: 0.01592, stealth: 0.0156, workshop: 0.01427, cable: 0.01366, sync: 0.01328, math: 0.01326, expose: 0.01264, sticker: 0.01229"
