Topic,Words
Topic 0,"game: 0.0196, team: 0.01707, player: 0.01391, play: 0.01262, season: 0.01194, hockey: 0.01063, league: 0.01028, baseball: 0.0096, playoff: 0.00957, year: 0.00916"
Topic 1,"bike: 0.02232, engine: 0.01415, mile: 0.01108, ride: 0.01079, wheel: 0.00993, riding: 0.00978, rear: 0.00978, motorcycle: 0.00915, front: 0.00915, brake: 0.00889"
Topic 2,"doctor: 0.01504, patient: 0.01329, disease: 0.0124, treatment: 0.01061, cause: 0.00995, effect: 0.00969, infection: 0.00967, drug: 0.00959, food: 0.00953, medical: 0.00943"
Topic 3,"christian: 0.01446, jesu: 0.01274, bible: 0.01178, believe: 0.01018, christ: 0.00977, faith: 0.00924, atheist: 0.00919, belief: 0.00898, church: 0.0081, christianity: 0.00772"
Topic 4,"farr: 1.07428, woof: 0.97534, cheek: 0.90608, trip: 0.58715, though: 0.28789, still: 0.23756, good: 0.19301, : 1e-05, : 1e-05, : 1e-05"
Topic 5,"israel: 0.02294, israeli: 0.02144, arab: 0.02121, palestinian: 0.01332, jewish: 0.01277, peace: 0.0095, muslim: 0.00846, people: 0.00827, bosnia: 0.00825, kill: 0.00771"
Topic 6,"circuit: 0.01708, power: 0.01546, voltage: 0.01276, input: 0.01234, output: 0.01212, radio: 0.0118, audio: 0.01178, stereo: 0.01066, current: 0.01054, volt: 0.00986"
Topic 7,"drive: 0.05394, scsi: 0.0406, disk: 0.03815, controller: 0.02353, hard: 0.02272, boot: 0.02027, floppy: 0.02025, problem: 0.01768, jumper: 0.01576, install: 0.01514"
Topic 8,"card: 0.07462, video: 0.04243, driver: 0.04207, monitor: 0.0361, color: 0.03052, window: 0.02631, mode: 0.02559, graphic: 0.02535, diamond: 0.02292, svga: 0.0215"
Topic 9,"test: 0.03893, please: 0.03678, thank: 0.03453, subscribe: 0.03367, stuff: 0.03201, ditto: 0.03198, loser: 0.03129, think: 0.02977, post: 0.02799, retard: 0.02794"
Topic 10,"printer: 0.08448, print: 0.04927, laser: 0.03361, printing: 0.02653, driver: 0.02464, laserwriter: 0.02342, deskjet: 0.02172, font: 0.0207, postscript: 0.02046, laserjet: 0.01751"
Topic 11,"sale: 0.05968, shipping: 0.0503, price: 0.03742, sell: 0.03729, mail: 0.03584, please: 0.03277, interest: 0.02955, offer: 0.02888, selling: 0.0254, contact: 0.02137"
Topic 12,"email: 0.0551, mail: 0.05387, please: 0.04691, thank: 0.04403, send: 0.03172, mailing: 0.02867, anyone: 0.02536, list: 0.0237, info: 0.02326, advance: 0.02274"
Topic 13,"game: 0.0474, sale: 0.02238, nintendo: 0.02093, sega: 0.01717, genesi: 0.01644, offer: 0.01642, price: 0.01477, shipping: 0.01414, controller: 0.01405, joystick: 0.01399"
Topic 14,"christ: 0.00653, jesu: 0.00624, christian: 0.00619, bible: 0.0058, faith: 0.00551, church: 0.0055, word: 0.00519, scripture: 0.00495, life: 0.00487, truth: 0.00465"
Topic 15,"orbit: 0.02491, mission: 0.0199, shuttle: 0.01977, space: 0.01567, solar: 0.01556, launch: 0.01543, satellite: 0.0131, fuel: 0.01203, spacecraft: 0.01112, orbiter: 0.01104"
Topic 16,"children: 0.05151, compound: 0.01948, koresh: 0.01863, davidian: 0.01279, batf: 0.01199, child: 0.01094, fire: 0.01085, death: 0.01046, people: 0.01024, kill: 0.0098"
Topic 17,"government: 0.02942, encryption: 0.02487, clipper: 0.02292, chip: 0.01756, secure: 0.01737, escrow: 0.0155, algorithm: 0.01424, secret: 0.01411, crypto: 0.01354, cryptography: 0.01326"
Topic 18,"archive: 0.00374, information: 0.00338, unix: 0.00331, site: 0.0033, software: 0.00321, multiple: 0.00317, distribution: 0.00316, directory: 0.00315, including: 0.00314, send: 0.00313"
Topic 19,"space: 0.02389, moon: 0.02083, launch: 0.01601, nasa: 0.01561, lunar: 0.01534, money: 0.01531, cost: 0.01507, funding: 0.014, commercial: 0.01267, program: 0.01232"
