Topic,Words
Topic 0,"game: 0.01987, team: 0.01738, player: 0.01404, play: 0.0128, season: 0.01207, hockey: 0.01069, league: 0.01034, baseball: 0.00978, playoff: 0.00966, year: 0.00938"
Topic 1,"christian: 0.01393, jesu: 0.0112, bible: 0.01075, christ: 0.00911, believe: 0.00874, religion: 0.00796, church: 0.00783, belief: 0.00771, faith: 0.00767, christianity: 0.00734"
Topic 2,"doctor: 0.01491, patient: 0.01261, disease: 0.01204, treatment: 0.01073, cause: 0.01012, food: 0.0097, medical: 0.00959, infection: 0.00948, effect: 0.00942, diet: 0.00932"
Topic 3,"woof: 0.62534, gehrig: 0.59642, cheek: 0.58126, headline: 0.52195, gotta: 0.45062, trip: 0.37824, three: 0.21469, though: 0.18727, still: 0.15498, first: 0.1377"
Topic 4,"israel: 0.02338, israeli: 0.02186, arab: 0.02175, palestinian: 0.01342, jewish: 0.01285, peace: 0.00993, bosnia: 0.0086, people: 0.00853, muslim: 0.00833, kill: 0.00799"
Topic 5,"encryption: 0.02847, clipper: 0.02269, chip: 0.02043, algorithm: 0.01718, government: 0.01691, escrow: 0.0165, secure: 0.01509, security: 0.01379, encrypt: 0.01323, secret: 0.01282"
Topic 6,"circuit: 0.01914, power: 0.01616, input: 0.01425, voltage: 0.01394, audio: 0.01317, current: 0.0123, output: 0.01222, stereo: 0.01182, radio: 0.0117, amplifier: 0.01137"
Topic 7,"card: 0.07505, video: 0.03937, driver: 0.03926, monitor: 0.03163, color: 0.02728, window: 0.02339, diamond: 0.02238, mode: 0.02153, graphic: 0.02095, svga: 0.01992"
Topic 8,"drive: 0.05671, scsi: 0.04374, disk: 0.04045, controller: 0.02856, hard: 0.02393, floppy: 0.02301, boot: 0.0212, problem: 0.01981, jumper: 0.01974, seagate: 0.01754"
Topic 9,"subscribe: 0.0536, test: 0.052, thank: 0.04362, please: 0.04333, ditto: 0.04235, loser: 0.04145, think: 0.03788, retard: 0.03696, yeah: 0.03402, stuff: 0.0333"
Topic 10,"engine: 0.0344, ford: 0.02464, mustang: 0.01906, chevy: 0.01545, rear: 0.0133, wheel: 0.01298, wagon: 0.01287, mile: 0.01265, liter: 0.01244, toyota: 0.01235"
Topic 11,"printer: 0.08475, print: 0.04991, laser: 0.03394, printing: 0.02679, driver: 0.02502, laserwriter: 0.02358, postscript: 0.02151, font: 0.02093, deskjet: 0.02072, laserjet: 0.01762"
Topic 12,"archive: 0.00352, information: 0.00328, list: 0.00301, contain: 0.00299, including: 0.00297, send: 0.00295, note: 0.00294, space: 0.00292, site: 0.00287, unix: 0.00286"
Topic 13,"children: 0.04612, compound: 0.01716, koresh: 0.01702, davidian: 0.01207, batf: 0.01072, people: 0.00997, death: 0.0096, fire: 0.00957, kill: 0.0094, parent: 0.00933"
Topic 14,"christ: 0.00675, jesu: 0.00636, christian: 0.00615, bible: 0.00601, faith: 0.00573, church: 0.00552, word: 0.00524, scripture: 0.00508, life: 0.00498, truth: 0.00457"
Topic 15,"file: 0.07888, format: 0.07706, convert: 0.05589, image: 0.04249, tiff: 0.03502, program: 0.03297, postscript: 0.03066, graphic: 0.03016, jpeg: 0.03012, thank: 0.02575"
Topic 16,"bike: 0.0381, riding: 0.02364, turn: 0.02189, lean: 0.02098, lane: 0.01848, throttle: 0.01791, left: 0.01776, road: 0.0171, passenger: 0.01622, handlebar: 0.0159"
Topic 17,"game: 0.05039, nintendo: 0.02262, sale: 0.02137, sega: 0.01856, genesi: 0.01781, offer: 0.01736, shipping: 0.01539, controller: 0.01527, joystick: 0.01513, super: 0.01511"
Topic 18,"armenian: 0.03615, turkish: 0.02675, serdar: 0.02605, armenia: 0.02509, turk: 0.02359, turkey: 0.02238, genocide: 0.01951, muslim: 0.01428, soviet: 0.01251, million: 0.01234"
Topic 19,"window: 0.06577, widget: 0.04171, manager: 0.03207, application: 0.02932, redraw: 0.02706, display: 0.02644, event: 0.02232, button: 0.02227, xlib: 0.02081, icon: 0.01788"
Topic 20,"fire: 0.03512, survivor: 0.02571, evidence: 0.02207, compound: 0.01909, koresh: 0.01559, tank: 0.01521, start: 0.01509, lantern: 0.01374, trial: 0.0129, wound: 0.01164"
Topic 21,"space: 0.02571, moon: 0.02407, money: 0.01864, cost: 0.01715, nasa: 0.01703, lunar: 0.01677, funding: 0.01517, launch: 0.01459, billion: 0.01448, project: 0.01384"
