Topic 0,"call: 0.29515, committee: 0.09625, hoax: 0.08921, ukraine: 0.06746, canada: 0.04076, corruption: 0.03713, phone: 0.03703, weekend: 0.03304, perfect: 0.02594, became: 0.02518"
Topic 1,"tomorrow: 0.2188, turn: 0.14387, judge: 0.11636, credibility: 0.0718, discussing: 0.0453, nevada: 0.04063, original: 0.03545, overturn: 0.02344, harry: 0.01697, gulf: 0.01282"
Topic 2,"washington: 0.16658, seen: 0.09623, anyone: 0.08833, play: 0.08752, politician: 0.08179, elect: 0.08041, rule: 0.05239, sound: 0.03654, taxpayer: 0.02637, discussion: 0.02235"
Topic 3,"presidential: 0.21979, found: 0.08954, enough: 0.07909, four: 0.04862, anywhere: 0.04531, spirit: 0.04333, counsel: 0.04235, research: 0.03842, reduce: 0.02872, circuit: 0.02788"
Topic 4,"amazing: 0.17, gone: 0.09903, easy: 0.08805, within: 0.05294, likewise: 0.0419, speaker: 0.04156, disgusting: 0.04026, careful: 0.03503, murder: 0.03322, accurate: 0.02794"
Topic 5,"lowest: 0.07846, creat: 0.05859, amount: 0.05513, birthday: 0.04829, vietnam: 0.04626, sunday: 0.03751, inflation: 0.03514, dinner: 0.02823, august: 0.02238, competition: 0.02232"
Topic 6,"wall: 0.37234, build: 0.06884, worse: 0.06053, hate: 0.04474, increase: 0.03595, rest: 0.03019, coverage: 0.02971, terrorist: 0.02745, racist: 0.02278, travel: 0.01488"
Topic 7,"meeting: 0.22323, record: 0.2147, morning: 0.10053, fast: 0.09053, companie: 0.08194, talking: 0.0716, subject: 0.03087, threat: 0.02482, latino: 0.01571, remaining: 0.01358"
Topic 8,"comey: 0.29618, host: 0.09318, doubt: 0.07412, september: 0.04716, stone: 0.04324, colorado: 0.03864, pastor: 0.02885, thug: 0.0219, abandon: 0.02145, delegate: 0.02024"
Topic 9,"stay: 0.07767, race: 0.07734, stronger: 0.0704, prayer: 0.06534, bernie: 0.05153, mayor: 0.04773, either: 0.04298, kavanaugh: 0.03693, sander: 0.035, incompetent: 0.02722"
Topic 10,"ready: 0.14109, attack: 0.13209, side: 0.09007, hurt: 0.05853, wisconsin: 0.05289, wealth: 0.0282, luther: 0.02497, card: 0.02252, misdemeanor: 0.01837, mine: 0.0181"
Topic 11,"even: 0.36515, close: 0.09772, chairman: 0.0582, seeing: 0.0428, list: 0.0395, dead: 0.03757, document: 0.03728, mile: 0.02495, section: 0.02201, announcement: 0.02052"
Topic 12,"hearing: 0.1605, testimony: 0.1309, mainstream: 0.11216, journalism: 0.04666, joint: 0.0461, treason: 0.04377, hurting: 0.03171, increasing: 0.02468, easter: 0.02456, certainty: 0.01874"
Topic 13,"action: 0.10911, highest: 0.10806, weak: 0.08704, star: 0.05911, opponent: 0.04965, troop: 0.04848, among: 0.04231, rais: 0.04167, quid: 0.0375, pouring: 0.03646"
Topic 14,"jame: 0.11554, intelligence: 0.111, mccabe: 0.08426, andrew: 0.0743, police: 0.05411, losing: 0.04591, fool: 0.03891, held: 0.03642, intel: 0.02359, info: 0.0196"
Topic 15,"country: 0.44597, billion: 0.12066, need: 0.07865, full: 0.05836, historic: 0.04224, israel: 0.03574, peace: 0.02719, middle: 0.02334, east: 0.01999, inaccurate: 0.01854"
Topic 16,"nothing: 0.28293, left: 0.16384, radical: 0.09674, hear: 0.0554, matter: 0.05116, anymore: 0.02789, mississippi: 0.01912, liar: 0.01911, passing: 0.01749, pari: 0.01615"
Topic 17,"campaign: 0.43131, lying: 0.08099, burr: 0.03484, asset: 0.02334, critical: 0.02245, horowitz: 0.02135, prisoner: 0.01897, ball: 0.01566, starving: 0.01516, master: 0.01366"
