Topic 0,"obamacare: 0.12676, worst: 0.11652, someone: 0.09089, standard: 0.08586, sanction: 0.05965, baseball: 0.03397, ensure: 0.03386, evil: 0.03145, florence: 0.02583, load: 0.02037"
Topic 1,"world: 0.36726, greatest: 0.13064, leadership: 0.11665, stat: 0.10259, spying: 0.02997, ceremony: 0.02019, jason: 0.02001, growing: 0.01828, bureaucrat: 0.01494, praying: 0.0129"
Topic 2,"number: 0.34596, already: 0.1787, jong: 0.06953, lose: 0.06846, significant: 0.02173, fiction: 0.0207, contract: 0.01836, selling: 0.016, reli: 0.01382, rasmussen: 0.01375"
Topic 3,"hate: 0.08666, wife: 0.06719, vietnam: 0.04685, explain: 0.04105, honest: 0.03774, simp: 0.03717, levin: 0.03437, blue: 0.03225, inquiry: 0.03148, wealth: 0.02766"
Topic 4,"think: 0.23235, looking: 0.19008, join: 0.12248, something: 0.1027, dossier: 0.07436, careful: 0.02735, quid: 0.0261, wage: 0.02484, opioid: 0.01688, study: 0.01401"
Topic 5,"bles: 0.10366, nato: 0.10318, land: 0.06513, barr: 0.05492, protection: 0.04551, missile: 0.0331, lincoln: 0.03144, commercial: 0.02976, rancher: 0.0297, search: 0.0284"
Topic 6,"crowd: 0.15891, level: 0.11815, jordan: 0.11694, return: 0.06793, mayor: 0.06222, ukrainian: 0.06127, conflict: 0.05936, text: 0.03793, assault: 0.0333, football: 0.02413"
Topic 7,"year: 0.41679, ever: 0.15593, nation: 0.10147, economic: 0.0628, stronger: 0.03342, growth: 0.03122, cohen: 0.01725, whatever: 0.01571, clapper: 0.00999, cave: 0.0093"
Topic 8,"negotiate: 0.07377, half: 0.06881, spectacular: 0.05229, intel: 0.05159, simpson: 0.04851, violence: 0.04483, gold: 0.03973, suffer: 0.03859, century: 0.02842, lunch: 0.02801"
Topic 9,"happen: 0.35258, allow: 0.23226, watching: 0.12597, went: 0.10961, luther: 0.03085, seek: 0.01365, master: 0.01246, philadelphia: 0.01234, mandate: 0.01019, surround: 0.00519"
