Topic 0,"call: 0.3368, impeachment: 0.23467, committee: 0.11018, hoax: 0.10182, ukraine: 0.07713, phone: 0.04242, perfect: 0.0298, difference: 0.02232, predict: 0.01784, sitting: 0.00613"
Topic 1,"tomorrow: 0.36706, official: 0.2361, judge: 0.19574, nevada: 0.06809, county: 0.05385, seal: 0.02212, great: 0.0179, equipment: 0.01388, clark: 0.00255, steph: 0.0"
Topic 2,"maga: 0.23817, washington: 0.23638, anyone: 0.12584, play: 0.12422, elect: 0.11409, sound: 0.052, taxpayer: 0.03801, recovery: 0.02236, treatment: 0.01317, advance: 0.01257"
Topic 3,"presidential: 0.44082, enough: 0.15864, anywhere: 0.09091, spirit: 0.08718, rush: 0.05122, investigator: 0.03915, vision: 0.03313, cabinet: 0.03279, credible: 0.01885, wisdom: 0.01212"
Topic 4,"easy: 0.23387, likewise: 0.11632, speaker: 0.11065, careful: 0.09361, accurate: 0.07431, virtual: 0.06684, avail: 0.06524, study: 0.04855, puppet: 0.04773, seldom: 0.02932"
Topic 5,"lowest: 0.20315, creat: 0.15169, amount: 0.1457, unprecedent: 0.11118, sunday: 0.09696, program: 0.08036, faster: 0.05051, performance: 0.04054, prisoner: 0.03266, quarter: 0.02481"
Topic 6,"wall: 0.60606, build: 0.11206, hate: 0.07285, increase: 0.05863, terrorist: 0.04471, travel: 0.02434, inside: 0.02075, earth: 0.01683, migration: 0.01248, spot: 0.00898"
Topic 7,"meeting: 0.27807, record: 0.2674, morning: 0.12509, companie: 0.10236, talking: 0.08914, subject: 0.03875, threat: 0.03121, latino: 0.01964, most: 0.01741, wild: 0.01014"
Topic 8,"sammy: 0.00018, sergeant: 0.00018, steph: 0.00018, nune: 0.00018, unity: 0.00018, introduce: 0.00018, newsweek: 0.00018, nature: 0.00018, proclaim: 0.00018, inspector: 0.00018"
Topic 9,"stay: 0.20342, stronger: 0.18469, bernie: 0.13481, either: 0.11331, sander: 0.09167, super: 0.07022, original: 0.05736, endorse: 0.04627, pete: 0.02913, quit: 0.0227"
Topic 10,"getting: 0.34413, ready: 0.17967, attack: 0.1685, side: 0.11483, presidency: 0.06482, constitution: 0.03642, great: 0.03214, mine: 0.02007, definite: 0.01296, assume: 0.00726"
Topic 11,"even: 0.56696, close: 0.15179, list: 0.06139, document: 0.05847, expand: 0.02427, complet: 0.02407, provide: 0.01915, powell: 0.0189, shame: 0.01503, margin: 0.00995"
Topic 12,"support: 0.31169, leader: 0.24143, political: 0.19817, voter: 0.11898, hearing: 0.09356, great: 0.02493, http: 2e-05, unity: 0.0, inspector: 0.0, nature: 0.0"
Topic 13,"talk: 0.21895, friend: 0.1896, protect: 0.16363, action: 0.1076, weak: 0.08578, star: 0.05819, opponent: 0.04928, among: 0.04172, popular: 0.02818, sean: 0.01534"
Topic 14,"report: 0.48066, jame: 0.15482, mccabe: 0.11311, police: 0.07237, wonder: 0.04233, stuff: 0.03648, expos: 0.03099, rock: 0.02593, great: 0.02279, defund: 0.00384"
Topic 15,"need: 0.24203, full: 0.18031, historic: 0.13103, israel: 0.11029, peace: 0.0839, middle: 0.07192, east: 0.06143, kingdom: 0.02877, proof: 0.02514, gather: 0.02034"
Topic 16,"hear: 0.32366, matter: 0.29831, anymore: 0.16303, stopping: 0.0558, conduct: 0.04751, carry: 0.02266, great: 0.01958, tireless: 0.01281, viru: 0.01273, embolden: 0.00347"
Topic 17,"sammy: 0.00018, sergeant: 0.00018, steph: 0.00018, nune: 0.00018, unity: 0.00018, introduce: 0.00018, newsweek: 0.00018, nature: 0.00018, proclaim: 0.00018, inspector: 0.00018"
Topic 18,"stat: 0.20614, unfair: 0.20529, near: 0.14301, whole: 0.12551, feel: 0.09015, memorial: 0.05812, september: 0.05414, site: 0.04094, memory: 0.01909, wayne: 0.01341"
Topic 19,"bill: 0.24681, another: 0.23637, healthcare: 0.08699, free: 0.08566, mistake: 0.04875, worth: 0.04721, mile: 0.04205, clue: 0.03533, great: 0.02977, usual: 0.02832"
Topic 20,"today: 0.581, help: 0.20713, great: 0.0767, recent: 0.05121, least: 0.04286, glad: 0.02125, returning: 0.00808, zucker: 0.00192, redstate: 0.00096, http: 0.00059"
Topic 21,"general: 0.26459, plan: 0.19823, kill: 0.15965, choice: 0.13632, attorney: 0.10505, dream: 0.09311, boom: 0.02338, http: 0.0004, nune: 0.0, intel: 0.0"
Topic 22,"since: 0.24602, story: 0.23513, amazing: 0.18607, storie: 0.10971, found: 0.0871, disgraceful: 0.05383, google: 0.02995, changing: 0.0151, nowhere: 0.01308, refer: 0.00396"
Topic 23,"whitehouse: 0.30329, working: 0.28251, coming: 0.2009, thought: 0.11259, necessary: 0.03367, ensure: 0.01785, critical: 0.01261, produce: 0.01049, load: 0.01042, combat: 0.00704"
Topic 24,"second: 0.13086, virginia: 0.10718, amendment: 0.1035, deliver: 0.0815, west: 0.0596, outside: 0.05882, defend: 0.05699, storm: 0.05559, proposal: 0.05242, great: 0.0478"
Topic 25,"last: 0.31943, night: 0.22014, interview: 0.1968, entire: 0.08816, sleepy: 0.04324, bringing: 0.03097, network: 0.02939, slow: 0.02171, shut: 0.01846, attention: 0.01611"
Topic 26,"china: 0.33783, trade: 0.24607, mexico: 0.20623, gave: 0.0675, nafta: 0.02778, organization: 0.01653, great: 0.0146, missing: 0.01417, deficit: 0.01388, auto: 0.01251"
Topic 27,"green: 0.12009, whether: 0.11522, cuomo: 0.09846, declare: 0.05856, skill: 0.05684, cancel: 0.05464, decide: 0.0545, natural: 0.05417, restore: 0.05053, writing: 0.04964"
Topic 28,"watch: 0.39865, word: 0.16853, taken: 0.1253, higher: 0.06943, clas: 0.04652, straight: 0.03068, great: 0.02626, football: 0.02622, exclusive: 0.02487, forgotten: 0.02439"
Topic 29,"real: 0.32467, work: 0.27461, nothing: 0.24412, john: 0.10344, except: 0.02802, pleasure: 0.00569, dumbest: 0.00555, dope: 0.00393, bolton: 0.00273, quiet: 0.00125"
Topic 30,"senator: 0.22265, rating: 0.18335, little: 0.14804, approval: 0.12001, went: 0.08586, great: 0.05115, jeff: 0.04952, tennessee: 0.03944, whose: 0.03497, path: 0.02719"
Topic 31,"government: 0.30222, federal: 0.2148, andrew: 0.12652, forget: 0.10425, spend: 0.0793, brother: 0.0491, tour: 0.03588, town: 0.03064, listening: 0.02952, fredo: 0.01093"
Topic 32,"sammy: 0.00018, sergeant: 0.00018, steph: 0.00018, nune: 0.00018, unity: 0.00018, introduce: 0.00018, newsweek: 0.00018, nature: 0.00018, proclaim: 0.00018, inspector: 0.00018"
Topic 33,"book: 0.28257, everyone: 0.2426, price: 0.14529, conversation: 0.08105, lower: 0.06369, existing: 0.04306, surprise: 0.04279, condition: 0.04103, grateful: 0.0363, require: 0.00715"
Topic 34,"germany: 0.19764, speaking: 0.19443, consider: 0.18746, argument: 0.10748, chair: 0.08968, profit: 0.04976, critic: 0.03877, consistent: 0.03419, unleash: 0.01886, province: 0.01628"
Topic 35,"citizen: 0.18005, nobody: 0.11099, behind: 0.10549, room: 0.08595, celebrate: 0.08557, leading: 0.08028, hostage: 0.07012, soldier: 0.06581, operation: 0.06203, therefore: 0.04663"
Topic 36,"well: 0.33742, congres: 0.27975, agenda: 0.0733, supporter: 0.07214, staff: 0.06792, deserve: 0.06146, enter: 0.03461, hospital: 0.02259, transparency: 0.02225, patient: 0.01331"
Topic 37,"already: 0.22795, major: 0.17366, large: 0.16964, race: 0.12354, beginning: 0.1019, impact: 0.05302, confidence: 0.04886, scale: 0.03483, moment: 0.02963, pull: 0.0099"
Topic 38,"angry: 0.18907, turkey: 0.14427, wish: 0.1016, additional: 0.10004, europe: 0.09204, simple: 0.06188, rose: 0.05021, garden: 0.03862, equal: 0.03388, montana: 0.03194"
Topic 39,"care: 0.28779, safety: 0.21801, director: 0.16087, step: 0.12783, health: 0.06933, admin: 0.03744, agency: 0.02896, fleeing: 0.01849, youth: 0.01593, roof: 0.00813"
Topic 40,"join: 0.27494, announce: 0.1137, group: 0.10418, pleas: 0.09337, reporter: 0.08635, proven: 0.0656, professional: 0.0438, telling: 0.04194, college: 0.04003, jack: 0.03254"
Topic 41,"california: 0.33161, children: 0.16071, substantial: 0.09533, willing: 0.08796, board: 0.07526, development: 0.06081, quite: 0.02973, unifi: 0.02801, character: 0.02297, legendary: 0.02072"
Topic 42,"built: 0.19539, decade: 0.134, policy: 0.11435, moving: 0.07674, favorite: 0.07039, ahead: 0.06161, democratic: 0.05843, plant: 0.0583, prior: 0.05185, expert: 0.03936"
Topic 43,"still: 0.18536, worse: 0.1635, gone: 0.14584, chance: 0.10845, putting: 0.08352, weekend: 0.07527, partner: 0.05577, miss: 0.03788, roger: 0.03319, alternative: 0.03234"
Topic 44,"richard: 0.15933, extreme: 0.13774, discuss: 0.13306, pathetic: 0.10941, response: 0.10306, pundit: 0.07472, complaint: 0.05666, legislative: 0.04626, epidemic: 0.03279, viewer: 0.03199"
Topic 45,"comey: 0.26724, person: 0.17012, thousand: 0.12684, caught: 0.0926, gang: 0.08477, outstanding: 0.07404, value: 0.04692, thrill: 0.02372, hack: 0.0216, great: 0.02097"
Topic 46,"house: 0.39784, white: 0.20074, yesterday: 0.13258, result: 0.09152, mean: 0.06555, offer: 0.05555, student: 0.03857, learning: 0.00912, barrel: 0.0, steph: 0.0"
Topic 47,"nation: 0.35895, beautiful: 0.21739, syria: 0.1493, sent: 0.06419, minnesota: 0.05526, terror: 0.0416, surge: 0.03293, suspend: 0.02495, islamic: 0.02466, refugee: 0.01068"
