## 200 Topics ##
prior_GMM u_mass Coherence: -18.54464
prior_GMM c_v Coherence: 0.65428
prior_GMM Topic - Diversity Coherence: 0.992

Topic 0,"high: 0.29688, proud: 0.13854, entire: 0.10317, energy: 0.0978, turkey: 0.06708, remain: 0.05724, industry: 0.04142, regime: 0.02506, independent: 0.02082, mother: 0.01594"
Topic 1,"service: 0.19422, took: 0.19014, host: 0.10235, serving: 0.0612, google: 0.0507, rick: 0.04402, republic: 0.03314, jerusalem: 0.02646, association: 0.0253, asham: 0.02468"
Topic 2,"pennsylvania: 0.19146, mainstream: 0.12946, purpose: 0.09728, opinion: 0.07298, risk: 0.04683, info: 0.04212, particular: 0.04204, allie: 0.03948, megan: 0.02884, cool: 0.02685"
Topic 3,"much: 0.38475, fact: 0.19069, come: 0.18651, different: 0.04871, learn: 0.03253, msnbc: 0.03184, father: 0.02646, discover: 0.01088, reduction: 0.0084, haras: 0.00785"
Topic 4,"wall: 0.46988, tomorrow: 0.11817, happy: 0.11761, asking: 0.04322, street: 0.03548, often: 0.02885, third: 0.02578, clapper: 0.01683, journal: 0.0167, socialism: 0.01415"
Topic 5,"people: 0.55346, many: 0.31638, final: 0.06096, cold: 0.01014, enthusiasm: 0.00806, ireland: 0.0061, stopping: 0.0056, conduct: 0.00467, raising: 0.00405, swing: 0.00341"
Topic 6,"american: 0.43489, dollar: 0.15678, million: 0.12412, worker: 0.06779, familie: 0.05247, bles: 0.03478, friday: 0.01392, sold: 0.00883, rosenstein: 0.00747, uncover: 0.00631"
Topic 7,"president: 0.7756, term: 0.03774, demand: 0.02211, march: 0.01366, constitution: 0.01194, modern: 0.01087, achievement: 0.01025, omar: 0.00958, strategy: 0.00771, turnberry: 0.00731"
Topic 8,"failing: 0.16194, written: 0.09399, network: 0.05807, option: 0.04073, jail: 0.03771, army: 0.03506, photo: 0.03451, intention: 0.03192, compete: 0.02993, station: 0.02506"
Topic 9,"http: 0.69511, trump: 0.28213, ceremony: 0.00307, passage: 0.00196, morgan: 0.00182, supp: 0.00153, manipulation: 0.00117, triumph: 0.00073, residence: 0.00065, vetting: 0.00063"
Topic 10,"intelligence: 0.21293, paying: 0.12661, outstanding: 0.09228, excuse: 0.06522, attention: 0.03764, barack: 0.03003, extend: 0.026, monitoring: 0.02422, smash: 0.0239, devote: 0.02256"
Topic 11,"melania: 0.21515, basi: 0.07287, prescription: 0.07129, battle: 0.05696, earning: 0.04448, victor: 0.03927, ensuring: 0.02838, arriving: 0.02686, content: 0.02443, shock: 0.02325"
Topic 12,"stock: 0.12495, understand: 0.10944, given: 0.10007, horrible: 0.0859, charge: 0.08281, powerful: 0.07712, inaccurate: 0.04666, amazon: 0.04082, ivanka: 0.02054, piece: 0.01988"
Topic 13,"beautiful: 0.16126, smart: 0.10848, train: 0.0546, worth: 0.04671, tower: 0.04508, mile: 0.04162, chicago: 0.03727, narrative: 0.03182, ground: 0.0279, nasty: 0.02218"
Topic 14,"pretend: 0.14148, island: 0.1369, jack: 0.11641, recover: 0.06425, knock: 0.04146, blessing: 0.03741, shout: 0.02996, payroll: 0.02829, predicting: 0.01946, hockey: 0.01408"
Topic 15,"fake: 0.41612, media: 0.35255, gone: 0.05695, ukrainian: 0.03169, partner: 0.02181, figure: 0.01646, sworn: 0.01064, rebuilt: 0.00759, central: 0.00599, participate: 0.005"
Topic 16,"nation: 0.37354, citizen: 0.1311, return: 0.09199, celebrate: 0.06223, soldier: 0.04795, operation: 0.04518, bishop: 0.03549, warrior: 0.02643, salute: 0.02519, rescue: 0.02111"
Topic 17,"putin: 0.13313, discredit: 0.12049, constant: 0.07069, natural: 0.04916, monster: 0.04512, larger: 0.04448, resistance: 0.04205, concrete: 0.03451, goldman: 0.02926, website: 0.02626"
Topic 18,"past: 0.16154, anti: 0.1478, expensive: 0.08562, substantial: 0.07842, defeat: 0.05535, amnesty: 0.04926, somebody: 0.0406, delivering: 0.04039, jewish: 0.03282, movie: 0.02053"
Topic 19,"real: 0.53582, russian: 0.14129, negative: 0.05264, twitter: 0.04705, bringing: 0.0353, slow: 0.0248, shut: 0.02107, horrific: 0.01455, cute: 0.01359, balderson: 0.0096"
Topic 20,"think: 0.26824, open: 0.1821, political: 0.16833, reason: 0.13234, november: 0.05087, ticket: 0.0402, health: 0.02793, inherit: 0.01147, corey: 0.00954, wine: 0.00947"
Topic 21,"sham: 0.09874, according: 0.07629, saudi: 0.07587, strange: 0.04988, adult: 0.04242, replacement: 0.03665, floor: 0.0347, shown: 0.03424, overthrow: 0.02677, untrue: 0.02526"
Topic 22,"nato: 0.158, standing: 0.12784, insurance: 0.09836, clas: 0.08871, whether: 0.06725, continuing: 0.06235, latino: 0.05616, loan: 0.03665, decide: 0.03127, pursue: 0.02255"
Topic 23,"including: 0.29478, potu: 0.22156, coup: 0.05542, blue: 0.04436, favor: 0.03987, brian: 0.03745, grow: 0.02545, asset: 0.02448, campaigning: 0.0225, roll: 0.02221"
Topic 24,"mueller: 0.22325, continue: 0.15894, official: 0.08616, hurricane: 0.07602, head: 0.06336, local: 0.04721, louisiana: 0.04484, emergency: 0.03742, listen: 0.03289, rapid: 0.03229"
Topic 25,"still: 0.19355, stat: 0.15893, japan: 0.12655, michigan: 0.07222, paper: 0.04939, county: 0.03855, kasich: 0.0319, pompeo: 0.02563, selling: 0.02425, native: 0.02354"
Topic 26,"comey: 0.43922, fallen: 0.04418, condemn: 0.03812, phase: 0.03689, rising: 0.0316, port: 0.02684, command: 0.02272, fracking: 0.02034, theft: 0.01826, assad: 0.01725"
Topic 27,"running: 0.20815, correct: 0.1346, send: 0.10501, benefit: 0.0814, extreme: 0.05412, giant: 0.05038, courage: 0.04175, mccain: 0.0378, trie: 0.02186, rogue: 0.01412"
Topic 28,"virginia: 0.1752, force: 0.16264, west: 0.09744, wanting: 0.06428, rebuilding: 0.04671, blame: 0.03772, space: 0.03497, hannity: 0.03107, task: 0.029, dialogue: 0.02461"
Topic 29,"report: 0.35879, thought: 0.12881, knew: 0.08183, immediate: 0.07219, save: 0.06097, proper: 0.05809, effort: 0.05681, evil: 0.01982, quote: 0.01843, donor: 0.01759"
Topic 30,"shutdown: 0.22485, police: 0.08912, officer: 0.0806, land: 0.06677, legislation: 0.06032, include: 0.05958, fought: 0.05353, discussing: 0.05249, episode: 0.03168, hill: 0.02514"
Topic 31,"investigate: 0.14859, overflow: 0.08018, pace: 0.0711, priority: 0.04812, error: 0.04215, gulf: 0.03668, economist: 0.03605, operative: 0.03268, broward: 0.03181, society: 0.03077"
Topic 32,"important: 0.18428, presidential: 0.15791, allow: 0.14283, secretary: 0.08809, quick: 0.08108, speak: 0.06991, mitch: 0.02949, liar: 0.02258, strength: 0.02246, file: 0.0167"
Topic 33,"debate: 0.19505, public: 0.12527, whole: 0.09364, bigger: 0.0813, outside: 0.07357, difference: 0.04499, stage: 0.04145, kept: 0.04067, embassy: 0.03874, counter: 0.02629"
Topic 34,"taxpayer: 0.10999, miami: 0.07285, judiciary: 0.07125, benghazi: 0.05809, apart: 0.05573, finance: 0.0505, oath: 0.05034, oscar: 0.0341, underway: 0.03134, academy: 0.02997"
Topic 35,"meeting: 0.27518, billion: 0.24308, fast: 0.11175, talking: 0.08823, subject: 0.03806, solve: 0.03023, doral: 0.02085, virtual: 0.0207, surveillance: 0.01266, clown: 0.01077"
Topic 36,"bill: 0.35394, defense: 0.08177, rico: 0.07298, indiana: 0.05089, pouring: 0.0505, section: 0.0486, rocket: 0.04101, trafficker: 0.03408, checker: 0.02755, improve: 0.01896"
Topic 37,"vote: 0.58166, chairman: 0.09744, immigrant: 0.06562, following: 0.02559, cumming: 0.01724, vision: 0.0171, departing: 0.01675, beto: 0.01176, returning: 0.01119, coverup: 0.00926"
Topic 38,"thing: 0.39029, take: 0.27445, credit: 0.06322, everybody: 0.04452, sense: 0.04116, community: 0.03549, appoint: 0.02166, unfortunate: 0.01764, pledge: 0.01679, stick: 0.01415"
Topic 39,"small: 0.11445, bipartisan: 0.07877, lady: 0.07839, begin: 0.0771, georgia: 0.07434, consumer: 0.07281, inflation: 0.05966, detail: 0.05319, discussion: 0.04522, percent: 0.03316"
Topic 40,"getting: 0.3075, build: 0.1454, tough: 0.13119, anyway: 0.04496, location: 0.02905, development: 0.02775, fashion: 0.02698, owner: 0.02455, advice: 0.02379, daughter: 0.01939"
Topic 41,"want: 0.62761, mean: 0.05946, current: 0.05173, hall: 0.02177, wealth: 0.01922, joint: 0.01732, bought: 0.01603, reopen: 0.01493, impeaching: 0.01056, poland: 0.01028"
Topic 42,"obstruction: 0.10688, crazy: 0.10461, taking: 0.09661, stay: 0.08759, race: 0.0874, easy: 0.08566, bernie: 0.05816, dorian: 0.04897, sander: 0.03951, rais: 0.03641"
Topic 43,"voter: 0.19882, fraud: 0.14132, fema: 0.11682, present: 0.06292, largest: 0.05469, expand: 0.04472, afraid: 0.03525, horowitz: 0.02755, laugh: 0.02435, agriculture: 0.02367"
Topic 44,"level: 0.16163, follow: 0.08966, kevin: 0.06911, anywhere: 0.06241, fine: 0.05999, negotiate: 0.0518, currency: 0.04321, professional: 0.03794, journalism: 0.03685, direction: 0.03639"
Topic 45,"known: 0.12547, atlantic: 0.11266, paso: 0.11082, asylum: 0.06857, lucky: 0.04948, ryan: 0.04562, gift: 0.0441, aluminum: 0.03479, philadelphia: 0.02393, jill: 0.02335"
Topic 46,"state: 0.40614, unit: 0.22732, justice: 0.07728, unfair: 0.04602, event: 0.03939, treat: 0.03827, victory: 0.03517, luck: 0.01865, award: 0.01741, lawsuit: 0.01552"
Topic 47,"coming: 0.29497, live: 0.27967, group: 0.07119, season: 0.05663, subpoena: 0.03558, sometime: 0.03429, resolution: 0.0252, sending: 0.02268, lago: 0.02025, syndrome: 0.0156"
Topic 48,"total: 0.29633, military: 0.1955, complete: 0.08661, endorsement: 0.07426, second: 0.06635, congressman: 0.05528, amendment: 0.05252, scott: 0.02323, danger: 0.01692, franklin: 0.01187"
Topic 49,"testimony: 0.12408, account: 0.07943, career: 0.07397, quid: 0.05889, reading: 0.05191, inspector: 0.04066, labor: 0.02825, resign: 0.02771, sector: 0.02179, purchase: 0.02071"
Topic 50,"tariff: 0.26368, massive: 0.16816, seeing: 0.07377, certain: 0.0662, within: 0.06005, regulation: 0.05611, enter: 0.03884, prove: 0.0248, addition: 0.02205, knight: 0.01813"
Topic 51,"history: 0.20319, working: 0.20134, better: 0.17191, soon: 0.13406, corrupt: 0.09536, greatest: 0.0776, positive: 0.02694, commercial: 0.01152, hurting: 0.00935, announcing: 0.00883"
Topic 52,"ambassador: 0.12881, construction: 0.11052, lover: 0.09444, awesome: 0.07798, matt: 0.07704, lobbyist: 0.05256, february: 0.04984, tech: 0.04337, authority: 0.02373, majesty: 0.02207"
