Topic,Words
Topic 0,"http: 0.03625, animal: 0.00299, progres: 0.00261, kind: 0.00241, constructive: 0.00221, stuff: 0.00208, sucker: 0.00208, constituent: 0.00202, dude: 0.00197, plate: 0.00197"
Topic 1,"border: 0.02052, mexico: 0.01892, wall: 0.01619, immigration: 0.01581, southern: 0.01519, illegal: 0.0111, security: 0.00954, drug: 0.00927, patrol: 0.00892, mexican: 0.00842"
Topic 2,"china: 0.03635, chinese: 0.01865, tariff: 0.01143, currency: 0.00976, product: 0.00879, trade: 0.00859, viru: 0.0082, billion: 0.00568, manipulation: 0.00562, farmer: 0.00545"
Topic 3,"obamacare: 0.05665, repeal: 0.02705, healthcare: 0.02584, premium: 0.02133, medicare: 0.01984, website: 0.0165, replace: 0.01506, plan: 0.0117, insurance: 0.01116, health: 0.01083"
Topic 4,"magazine: 0.01837, media: 0.01578, dishonest: 0.01411, fake: 0.01269, source: 0.01183, failing: 0.01118, story: 0.0109, reporting: 0.01086, journalism: 0.00998, reporter: 0.00935"
Topic 5,"obama: 0.03352, barack: 0.0183, bush: 0.00655, carter: 0.0064, jimmy: 0.0061, matti: 0.0061, resignation: 0.00527, mistake: 0.00479, worst: 0.00454, michelle: 0.00445"
Topic 6,"thank: 0.09866, receive: 0.0053, comment: 0.00414, question: 0.00249, much: 0.00088, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05"
Topic 7,"apprentice: 0.11326, celebrity: 0.08392, episode: 0.03, season: 0.02152, sunday: 0.01658, celeb: 0.01504, finale: 0.01216, wait: 0.01102, tonight: 0.0102, show: 0.00998"
Topic 8,"party: 0.0193, republican: 0.01842, democrat: 0.01783, democratic: 0.01212, radical: 0.01203, convention: 0.01077, socialist: 0.01028, left: 0.00987, socialism: 0.00765, abortion: 0.00748"
Topic 9,"carolina: 0.09034, south: 0.04828, north: 0.0449, bishop: 0.01846, charlotte: 0.01394, myrtle: 0.01368, mcmaster: 0.01231, greenville: 0.01229, fayetteville: 0.01191, murphy: 0.01179"
Topic 10,"impeachment: 0.0684, impeach: 0.03475, inquiry: 0.01943, sham: 0.01844, proces: 0.01566, democrat: 0.01011, partisan: 0.00983, offense: 0.00935, impeaching: 0.00902, article: 0.0084"
Topic 11,"women: 0.02396, veteran: 0.02205, sacrifice: 0.01967, marine: 0.01917, brave: 0.0191, harbor: 0.01737, pearl: 0.01687, navy: 0.01642, honor: 0.01547, memorial: 0.01313"
Topic 12,"haha: 1.00956, anti: 0.43109, caught: 0.37955, part: 0.26907, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05, : 1e-05"
Topic 13,"macy: 0.13581, shirt: 0.07771, collection: 0.03822, fragrance: 0.02708, signature: 0.02538, suit: 0.02436, avail: 0.02028, bought: 0.01682, dres: 0.01666, wear: 0.01623"
Topic 14,"korea: 0.07574, north: 0.04514, jong: 0.03504, korean: 0.01835, singapore: 0.01734, missile: 0.01408, south: 0.01392, moon: 0.01334, nuclear: 0.01206, chairman: 0.01127"
Topic 15,"economy: 0.04177, economic: 0.02254, growth: 0.01396, booming: 0.01079, fastest: 0.01026, market: 0.0098, number: 0.00944, unemployment: 0.00818, stock: 0.00802, record: 0.00757"
Topic 16,"supreme: 0.06094, court: 0.05165, barrett: 0.03294, judge: 0.03183, justice: 0.02434, coney: 0.0237, pack: 0.01149, circuit: 0.00958, vacancy: 0.0086, nomination: 0.00819"
Topic 17,"thank: 0.04717, http: 0.01798, terrence: 0.01491, sharper: 0.00816, massachusett: 0.00608, sharing: 0.00608, uscg: 0.006, harry: 0.00524, brain: 0.00484, dalla: 0.00437"
Topic 18,"iowa: 0.12204, moine: 0.0157, crowd: 0.01471, cedar: 0.01427, iowan: 0.01283, nebraska: 0.01201, land: 0.00818, poll: 0.00799, pack: 0.0079, omaha: 0.00659"
Topic 19,"poll: 0.06351, lead: 0.0214, reuter: 0.01783, leading: 0.01607, polling: 0.01484, pollwatch: 0.01232, number: 0.01228, percent: 0.01226, pollster: 0.00943, zogby: 0.00911"
Topic 20,"nato: 0.03703, tariff: 0.0325, trade: 0.03009, countrie: 0.02029, european: 0.01907, barrier: 0.01748, fair: 0.01536, union: 0.01394, germany: 0.01281, farmer: 0.01274"
Topic 21,"tweet: 0.08587, twitter: 0.08096, tweeting: 0.04532, follower: 0.03228, account: 0.01281, follow: 0.01236, hater: 0.01031, following: 0.00998, social: 0.00861, girl: 0.00829"
Topic 22,"wind: 0.11075, turbine: 0.10607, bird: 0.06053, windfarm: 0.04936, scotland: 0.04245, windmill: 0.04142, farm: 0.04044, eagle: 0.02329, aberdeen: 0.02292, cameron: 0.02054"
Topic 23,"mail: 0.05181, fraud: 0.04438, ballot: 0.04342, voter: 0.0261, voting: 0.02102, election: 0.01735, absentee: 0.01392, harvesting: 0.01325, universal: 0.01236, fraudulent: 0.01227"
Topic 24,"scotland: 0.10625, turnberry: 0.06837, aberdeen: 0.04529, course: 0.03099, golf: 0.03071, link: 0.02937, scottish: 0.02481, dune: 0.02175, resort: 0.02077, coastline: 0.01305"
Topic 25,"mueller: 0.06908, obstruction: 0.03089, collusion: 0.02471, report: 0.01999, robert: 0.018, conflict: 0.01603, angry: 0.01599, witch: 0.00977, hunt: 0.00975, finding: 0.00959"
Topic 26,"iran: 0.07785, iranian: 0.04181, nuclear: 0.03476, sanction: 0.01703, regime: 0.01322, weapon: 0.01176, protest: 0.01136, deal: 0.01103, nuke: 0.01062, suffering: 0.00924"
Topic 27,"debate: 0.09997, moderator: 0.02396, tweeting: 0.02077, deplorable: 0.01262, stage: 0.01017, performance: 0.00933, night: 0.00929, tonight: 0.00896, twitter: 0.00791, presidential: 0.00778"
Topic 28,"schiff: 0.1096, adam: 0.08548, shifty: 0.02675, gutfeld: 0.01689, censure: 0.01644, chairman: 0.01283, lying: 0.01129, corrupt: 0.01004, resign: 0.01003, testify: 0.00982"
Topic 29,"debt: 0.1342, ceiling: 0.05167, deficit: 0.04452, fiscal: 0.03829, budget: 0.03474, cliff: 0.03181, trillion: 0.02925, scary: 0.01914, curb: 0.01849, spending: 0.01797"
Topic 30,"endorsement: 0.04062, amendment: 0.03992, congressman: 0.03869, second: 0.03312, complete: 0.03193, strong: 0.02151, military: 0.02031, total: 0.01646, crime: 0.01537, defend: 0.01478"
Topic 31,"trump: 0.01875, http: 0.00924, serious: 0.00877, inauguration: 0.00876, link: 0.00797, percent: 0.00744, pick: 0.00734, blockbuster: 0.00662, bulli: 0.00662, katherine: 0.00662"
Topic 32,"country: 0.03535, need: 0.01228, track: 0.0119, turn: 0.00916, around: 0.00865, move: 0.00851, trouble: 0.00786, straighten: 0.00723, stadium: 0.0064, someday: 0.00616"
Topic 33,"rubio: 0.09057, cruz: 0.08393, marco: 0.08166, lightweight: 0.02681, trick: 0.01545, amnesty: 0.01536, liar: 0.01413, lyin: 0.0135, evangelical: 0.01067, bible: 0.01048"
Topic 34,"prevail: 0.01882, question: 0.01668, answer: 0.01264, revealing: 0.01182, response: 0.01058, tear: 0.01002, http: 0.00999, issue: 0.00982, test: 0.00953, together: 0.00937"
Topic 35,"unemployment: 0.12292, lowest: 0.04514, rate: 0.02766, african: 0.02349, hispanic: 0.02115, employment: 0.02049, wage: 0.01785, number: 0.01398, black: 0.0133, labor: 0.01281"
Topic 36,"book: 0.08026, reading: 0.03594, read: 0.0313, written: 0.01678, deal: 0.01434, champion: 0.01313, trigger: 0.01312, write: 0.01121, insight: 0.01084, luck: 0.01074"
Topic 37,"pence: 0.15659, mike: 0.10263, vice: 0.02816, kaine: 0.01927, stroke: 0.01333, mate: 0.00819, indiana: 0.00811, moine: 0.00771, airline: 0.0076, cleveland: 0.0074"
Topic 38,"thank: 0.01784, donald: 0.01474, trump: 0.01323, rock: 0.01039, credit: 0.00812, prez: 0.00791, epic: 0.00737, honesty: 0.00723, love: 0.00702, disappoint: 0.00653"
Topic 39,"ukraine: 0.10122, ukrainian: 0.06189, pressure: 0.02844, quid: 0.02025, transcript: 0.01797, phone: 0.01532, lethal: 0.01442, conversation: 0.01344, perfect: 0.01276, call: 0.01155"
Topic 40,"potu: 0.14475, amir: 0.01026, duke: 0.00914, welcoming: 0.00799, harvey: 0.00693, earn: 0.00646, independence: 0.00618, combat: 0.00598, ball: 0.00598, commitment: 0.0058"
Topic 41,"pelosi: 0.08277, nancy: 0.06425, speaker: 0.02992, parlor: 0.01379, puppet: 0.01141, salon: 0.01015, owner: 0.01009, schumer: 0.00889, ripp: 0.00827, beauty: 0.00802"
Topic 42,"yankee: 0.17415, derek: 0.07677, jeter: 0.0667, baseball: 0.03799, babe: 0.03454, contract: 0.0295, steinbrenner: 0.02941, ruth: 0.02914, player: 0.02656, pitcher: 0.0259"
Topic 43,"biden: 0.06616, betrayal: 0.01894, teleprompter: 0.01655, sister: 0.01128, basement: 0.01033, communicate: 0.00976, hunter: 0.00954, enthusiasm: 0.0093, question: 0.00917, overcome: 0.00899"
Topic 44,"unit: 0.05177, state: 0.0284, brazil: 0.0156, instruct: 0.00907, membership: 0.0072, next: 0.00717, president: 0.00691, regulation: 0.00653, difficult: 0.00645, britain: 0.00624"
