Topic,Words
Topic 0,"http: 0.03521, animal: 0.00296, resource: 0.00244, kind: 0.00238, constructive: 0.0022, heartland: 0.0022, regi: 0.00213, slate: 0.00213, gutfeld: 0.00206, sucker: 0.00206"
Topic 1,"china: 0.03535, chinese: 0.01864, tariff: 0.01106, currency: 0.00949, viru: 0.00927, product: 0.00882, trade: 0.0082, farmer: 0.00563, billion: 0.00563, manipulation: 0.00547"
Topic 2,"thank: 0.09551, dope: 0.00433, dopey: 0.00374, receive: 0.0037, appreciate: 0.00324, comment: 0.00288, kind: 0.00277, check: 0.00195, question: 0.00173, much: 0.00061"
Topic 3,"obamacare: 0.06924, repeal: 0.03048, healthcare: 0.0268, premium: 0.02676, website: 0.02151, replace: 0.01734, insurance: 0.01315, plan: 0.01277, cost: 0.01081, health: 0.01061"
Topic 4,"ballot: 0.04205, mail: 0.03313, fraud: 0.02822, voter: 0.02107, voting: 0.01665, absentee: 0.01643, election: 0.01444, detroit: 0.01125, watcher: 0.01122, counting: 0.00983"
Topic 5,"obama: 0.03334, barack: 0.0155, bush: 0.00668, carter: 0.00623, michelle: 0.00521, jimmy: 0.0051, gate: 0.00419, worst: 0.00406, president: 0.00403, mistake: 0.00381"
Topic 6,"endorsement: 0.03968, congressman: 0.0321, complete: 0.02948, amendment: 0.02885, second: 0.02348, strong: 0.01778, military: 0.01728, total: 0.01504, agenda: 0.0149, crime: 0.01295"
Topic 7,"carolina: 0.08742, south: 0.04677, north: 0.04409, bishop: 0.01803, charlotte: 0.01427, myrtle: 0.01338, murphy: 0.01248, mcmaster: 0.01203, greenville: 0.01202, fayetteville: 0.01166"
Topic 8,"dishonest: 0.01764, media: 0.01675, source: 0.01616, fake: 0.0141, failing: 0.01382, reporting: 0.0134, story: 0.01237, reporter: 0.01167, journalism: 0.01034, storie: 0.01003"
Topic 9,"navy: 0.0218, veteran: 0.02072, women: 0.01872, marine: 0.0184, sacrifice: 0.01824, brave: 0.01815, honor: 0.01539, harbor: 0.01506, pearl: 0.01463, usmc: 0.01191"
Topic 10,"pelosi: 0.07337, nancy: 0.05284, speaker: 0.0219, schumer: 0.01197, impeachment: 0.01146, puppet: 0.00855, crazy: 0.00846, maxine: 0.00833, schiff: 0.00685, inquiry: 0.00684"
Topic 11,"fucking: 0.74267, haha: 0.66844, opposite: 0.39368, careful: 0.33533, anti: 0.28355, part: 0.17631, : 1e-05, : 1e-05, : 1e-05, : 1e-05"
Topic 12,"thank: 0.0455, http: 0.01726, terrence: 0.01441, sharper: 0.00789, cool: 0.00772, michele: 0.00703, massachusett: 0.00587, sharing: 0.00587, uscg: 0.00579, harry: 0.00505"
Topic 13,"korea: 0.0758, north: 0.04563, jong: 0.03572, korean: 0.01789, singapore: 0.01773, missile: 0.01437, south: 0.01379, moon: 0.01193, nuclear: 0.01182, chairman: 0.01146"
Topic 14,"supreme: 0.06126, court: 0.05185, barrett: 0.03442, judge: 0.03148, coney: 0.0248, justice: 0.02372, pack: 0.01072, vacancy: 0.00903, circuit: 0.00902, constitution: 0.00791"
Topic 15,"question: 0.01654, answer: 0.01396, answering: 0.01164, happening: 0.01129, provider: 0.00982, http: 0.00952, verizon: 0.00949, prevail: 0.00942, identity: 0.00854, fast: 0.00829"
Topic 16,"tweet: 0.08609, twitter: 0.07864, tweeting: 0.04294, follower: 0.03122, account: 0.01302, follow: 0.01252, hater: 0.0115, shaun: 0.01092, following: 0.01014, bucket: 0.008"
