,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,game,bike,christian,doctor,woof,encryption,israel,drive,circuit,window,card,subscribe,printer,christ,format,armenian,archive,children,space,fire,phone,firearm,firearm,homosexual,game,bedroom,please,email,weapon,oort,algorithm,morality,constitution,kent,post,graphic,shipping,shuttle,killing,david,battery,islamic,radar,encryption,clinton,paint,comic,modem,chastity,memory,petrucci,ethernet,ticket,argument,article,modem,russian,condition,scsi,love,linux,turkish,tape,cica,health,part,heard,amiga,chastity,wate,receiver,secretary,sale,children,productive,sumgait,mouse,launch,email,flame,shafer,risc,arab,satan,cose,solder,warrant,research,sarcasm,driver,motif,john,bobbe,sent,medicine,pica,group,casserole,nasa,tire,backup,abortion,port,prevention,alexia,chilling,court,electricity,midi,diving,card,spacecraft,serial,deficit
1,team,engine,jesu,patient,gehrig,clipper,israeli,scsi,power,display,driver,test,print,jesu,file,turkish,information,compound,moon,compound,number,government,crime,sexual,nintendo,area,thank,mail,firearm,galaxy,polygon,moral,amendment,cheer,posting,animation,sale,orbit,kill,feustel,temperature,islam,detector,encrypt,bush,polish,marvel,serial,cadre,window,chopin,slot,hotel,post,quoting,baud,moscow,sale,drive,postage,unix,armenian,sell,indiana,insurance,nahf,confirm,video,cadre,newsgroup,transmitter,congres,madonna,christian,symbolize,yelena,keyboard,space,post,bait,dryden,pentium,israeli,freewill,mailing,plastic,batf,graphic,jennifer,state,file,ring,bronx,return,diet,army,ccfa,truelove,interesting,driving,disk,pregnancy,mouse,vaccine,urbana,queer,suspicious,stove,soundblaster,breathing,customer,venu,port,debt
2,player,mile,bible,disease,cheek,chip,arab,disk,voltage,problem,video,thank,laser,christian,convert,serdar,site,koresh,lunar,survivor,dial,weapon,government,heterosexual,sega,room,email,window,police,distance,surface,objective,militia,cult,game,image,interest,mission,punishment,netcom,heat,muslim,traffic,secure,democrat,rust,hulk,port,pitt,swap,mandell,card,airfare,hypocrite,buggy,software,kaliningrad,size,tape,sale,running,serdar,sale,winzip,canada,mtct,name,composite,intellect,convenience,sensor,political,immaculate,religion,inferior,deposition,cursor,mission,mirror,fire,insisting,clock,israel,angel,question,blue,search,science,irony,license,handy,fantasy,sank,phone,physician,bloodstream,loaner,leftover,sunrise,mile,reinstall,abstinence,driver,clinical,champaign,closet,lawyer,centigrade,card,astronaut,mail,gravity,joystick,income
3,play,ride,christ,treatment,headline,escrow,palestinian,controller,input,manager,monitor,please,printing,bible,image,armenia,unix,davidian,cost,evidence,tone,crime,citizen,male,genesi,kitchen,mail,thank,shoot,gamma,intersection,animal,right,religion,mail,looking,offer,solar,death,dave,concrete,bcci,signal,cryptography,senate,remove,avenger,dial,intellect,running,holt,socket,airline,article,read,internal,larrison,shipping,disk,freddie,system,ottoman,price,directory,care,chod,financial,graphic,skepticism,forum,detector,president,contact,bible,software,bonner,ergonomic,orbit,send,pipe,mary,instruction,village,lucifer,mail,green,illegal,sponsoring,humor,california,toolkit,natch,manhattan,payment,medical,vmax,lick,pizza,sunset,honda,madsen,birth,connection,newsletter,cobb,protest,toilet,electric,mapper,gravity,julia,transition,game,bush
4,season,rear,believe,cause,gotta,algorithm,jewish,hard,audio,application,color,ditto,driver,faith,postscript,turk,send,batf,money,batf,dialing,criminal,federal,survey,sale,canada,mailing,please,glock,orbit,plane,specie,government,jesu,feel,clipart,please,deploy,penalty,koresh,cooling,rushdie,valentine,security,republican,coat,surfer,external,skepticism,manager,chemistry,connector,voucher,attack,virginia,selling,soviet,strap,munroe,music,memory,turk,condition,program,canadian,shod,true,frame,shameful,split,signal,briefing,email,jesu,customize,aristide,thank,orbiter,posting,splashing,safety,cisc,country,tell,tene,mask,unseal,avail,thrown,parking,lilley,neuharth,blew,mail,biochemistry,testosterone,whoop,bait,orbit,steering,install,teenage,serial,infect,uiuc,marc,illusion,oven,sound,falling,arcnet,orbit,card,reagan
5,hockey,wheel,faith,food,trip,government,peace,floppy,output,file,diamond,loser,laserwriter,church,program,genocide,software,fire,funding,start,call,amendment,criminal,partner,super,parking,send,file,revolver,star,line,human,freedom,malcolm,letter,thank,mail,boost,cruel,davidian,discharge,fatwa,bogey,secret,house,liquid,mutant,problem,shameful,virtual,graham,asante,transfer,context,azure,msrp,launch,postage,doyle,dance,free,istanbul,vaccum,pkzip,private,tewa,maken,animation,pitt,graphic,system,meet,chilli,relationship,unix,pogrom,slowest,trajectory,thank,backfire,ball,performance,land,isaiah,message,phenolic,arrest,workstation,loop,resident,manchester,picker,queen,shipment,pathology,municipality,crohn,flaming,asteroid,engine,copy,condom,packet,viru,raise,break,naive,fahrenheit,blaster,flotation,pike,statu,item,borrowing
6,league,riding,church,effect,three,secure,people,problem,current,program,window,stuff,postscript,word,graphic,turkey,directory,parent,launch,tank,telephone,right,defense,cramer,football,dryer,list,advance,handgun,galactic,point,immoral,state,notion,made,format,buyer,launch,people,savior,floor,khomeini,radio,algorithm,reagan,cleaning,bagg,internal,gordon,file,fortran,board,orlando,ontological,bertrand,offer,rocket,velcro,backup,kenny,window,genocide,decker,desktop,doctor,nair,niet,ntsc,surrender,group,acceleration,office,achtung,parent,market,azerbaijani,jolt,solar,please,butane,nasa,intel,minister,fallen,send,epoxy,knock,seminar,possibility,road,internet,planetoid,vice,check,treatment,hate,blah,turkey,comet,ride,hard,school,connect,mortality,debate,million,owner,brent,driver,breather,edmund,foci,parallel,spending
7,baseball,motorcycle,belief,infection,though,encrypt,bosnia,boot,stereo,running,mode,retard,font,scripture,jpeg,muslim,including,death,nasa,davidian,swedish,citizen,weapon,study,trade,bath,advance,program,trigger,distribution,sphere,natural,free,label,response,imaging,sell,fuel,life,boulder,acid,bank,approaching,escrow,president,buff,wolverine,connect,surrender,application,application,chip,cancun,telepathy,minerva,tidbit,mann,nikon,shipping,bobby,beta,massacre,duster,util,american,chori,parm,monitor,gordon,propos,differential,toward,cher,torah,product,shout,rodent,payload,anyone,inhale,perfect,faster,meir,bobby,receive,board,helicopter,institute,aware,virginia,edit,puppy,stay,defective,osteopathic,funnel,cross,serv,arizona,road,microsoft,rate,registration,health,michael,secretary,sigh,microwave,audio,barnyard,penev,triad,floppy,pledge
8,playoff,tire,atheist,medical,still,security,kill,motherboard,amplifier,using,graphic,think,deskjet,life,tiff,million,list,people,project,knock,sweden,police,police,straight,please,road,anyone,convert,bullet,comet,parametric,subjective,speech,christian,poster,please,contact,space,innocent,risen,cold,gregg,driver,clipper,quayle,bike,silver,interrupt,bank,config,paperback,plug,bahama,wrong,oooh,price,leonov,spring,acorn,girl,forget,muslim,salon,register,malpractice,nazz,requestor,quicktime,bank,aspect,opto,laughter,please,christianity,restrictive,apartment,attachment,data,copy,firebomb,live,processor,knesset,abolishment,subscribe,emit,grenade,computer,assume,plate,explore,sparkle,away,receipt,vitamin,alcoholic,myer,wing,astronomy,airbag,drive,education,adapter,dickinson,middle,saturday,stolen,cutting,panel,buoyancy,venezia,bird,baud,congres
9,year,front,christianity,drug,many,phone,muslim,thank,volt,widget,svga,yeah,laserjet,truth,bitmap,soviet,include,child,billion,koresh,line,people,court,kinsey,controller,ceiling,newsgroup,version,rifle,burst,thank,agree,congres,secular,like,location,selling,satellite,person,israel,water,propaganda,alarm,privacy,year,finish,shipping,procomm,soon,free,send,compatible,trip,fact,intercon,port,cosmodrome,frame,exabyte,tape,avail,turkey,silex,upload,income,hori,rolex,computer,soon,discussing,quadrant,taken,following,love,innovative,baku,asap,satellite,adsorption,extinguisher,world,orthogonal,jewish,creepy,announcement,circuit,reno,modeling,private,fairfax,done,fluffy,mutton,call,nutrition,exiting,ncsl,commercial,earth,suspension,user,assume,routh,conduct,clinton,night,loop,temperature,cdrom,immersion,rockefeller,aerobraking,controller,brilliant
