,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,hell,bank,know,window,data,black,year,image,bike,list,problem,phone,file,friend,mark,rate,date,christian,port,canada,good,university,thank,period,chip,state,israel,price,president,homosexual,drug,space,cover,printer,line,armenian,energy,drive,book,believe,game,power,error,school,division,application,muslim,people,fire,john
1,fire,steve,people,card,system,white,maria,graphic,engine,mail,work,radio,program,love,mike,level,draft,jesu,machine,germany,like,pres,anyone,goal,encryption,right,israeli,offer,state,male,medical,earth,appear,print,include,turkish,battery,disk,word,claim,team,kinsey,message,media,toronto,widget,islamic,right,koresh,david
2,semi,voltage,time,driver,information,color,handgun,file,front,post,change,wire,font,doctor,mary,sound,round,church,board,norway,think,history,know,shot,security,weapon,arab,sale,year,object,patient,nasa,radar,page,echo,greek,ring,scsi,read,evidence,player,water,appreciate,gateway,chicago,motif,islam,think,children,name
3,shit,pitt,like,support,avail,blue,gonorrhea,format,mile,send,time,number,output,experience,islander,increase,paul,bible,system,france,time,professor,please,play,clipper,government,jewish,sell,american,sexual,disease,launch,detector,paper,sequence,village,japanese,hard,article,argument,play,current,crash,sony,city,value,trad,make,batf,scott
4,automatic,soon,want,screen,computer,green,ordnance,version,road,posting,part,ticket,character,pain,part,high,winner,christ,apple,april,much,turkey,like,adam,public,crime,palestinian,cost,program,code,health,orbit,rider,laser,length,muslim,chemical,controller,text,exist,year,circuit,checking,master,lost,psalm,captain,want,compound,andrew
5,okay,gordon,back,server,user,double,four,color,back,newsgroup,know,neutral,directory,feel,jersey,channel,hall,lord,modem,hotel,make,york,help,buffalo,privacy,firearm,south,model,national,edge,treatment,mission,comic,printing,command,turk,plate,system,written,question,season,signal,linux,link,detroit,resource,camera,action,agent,thoma
6,yeah,surrender,something,mode,research,register,mamma,tool,ride,group,happen,nist,code,hate,missing,cell,award,faith,computer,roger,real,publish,looking,second,government,police,anti,condition,report,behavior,food,satellite,telescope,restraint,string,people,body,floppy,writing,people,hockey,heat,motion,none,leaf,event,film,live,tank,jeff
7,wood,skepticism,going,mouse,software,light,center,program,left,request,think,ground,section,like,oiler,effect,weekend,word,work,switzerland,well,theory,advance,lead,system,legal,attack,interest,april,linear,risk,moon,star,cartridge,define,kill,learning,tape,language,reason,league,like,digest,unit,vancouver,window,cheaper,world,death,vitamin
8,mask,logic,think,version,center,dept,publish,package,well,internet,since,company,postscript,parent,crystal,noise,world,scripture,chip,sweden,thing,cambridge,someone,king,algorithm,control,british,best,unit,point,cancer,planet,force,cheap,colour,russian,combination,card,reference,belief,last,ground,procedure,title,boston,call,invent,moral,kill,smith
9,flame,shameful,right,monitor,source,dont,homicide,software,tire,message,back,connection,entry,cros,ranger,higher,pool,life,memory,isle,better,istanbul,mail,blue,escrow,criminal,year,good,group,michael,study,system,magnetic,vector,perform,turkey,build,data,write,atheist,baseball,light,miracle,iraq,pittsburgh,guide,strip,even,waco,chri
10,glas,intellect,even,problem,include,shadow,gfci,jpeg,wheel,please,thing,virtual,name,mine,fiction,audio,gopher,father,serial,andy,year,london,question,save,device,public,state,shipping,general,female,cause,solar,meter,quality,state,government,acid,jumper,letter,think,first,high,problem,teacher,wing,manager,thru,country,davidian,puck
11,away,einstein,told,video,university,flag,section,processing,motorcycle,comp,service,call,copy,blood,angel,pattern,whoever,love,problem,russia,point,evolution,want,sabre,technology,case,african,market,number,turbo,infection,spacecraft,wolverine,boost,problem,greece,compas,boot,quote,know,playoff,usual,fail,iranian,york,display,launcher,situation,warrant,plotting
12,stay,slip,went,running,library,yellow,although,display,turn,article,quite,ncsl,byte,opinion,baptism,frequency,ottawa,christianity,hardware,finland,even,road,anybody,wiring,secure,person,latin,please,congres,model,medicine,shuttle,appearance,greeting,hostname,soldier,thermal,transfer,wrote,many,night,plane,brian,bird,score,visual,factory,many,david,stanley
13,fuel,bobby,call,using,unix,that,knife,avail,like,site,year,connect,change,heart,hartford,lower,arena,catholic,software,listserv,take,candida,find,flyer,data,license,gaza,mail,work,reference,effect,year,weather,peripheral,draw,genocide,propulsion,interface,translation,mean,stat,case,static,iraqi,montreal,shell,filter,human,shot,martin
14,forgot,chastity,start,client,page,tech,georgia,pixel,right,subject,find,wall,build,sleep,cryptosystem,band,coach,paul,motherboard,segment,seem,publisher,email,bruin,standard,court,nuclear,make,member,circle,test,first,issue,deskjet,trick,armenia,lead,internal,reading,religion,espn,electrical,hang,disc,american,code,copying,force,cult,lebanese
15,neck,cadre,came,color,provide,start,ordinary,free,look,name,week,route,function,much,conception,stone,laugh,prayer,clock,columbia,going,australia,information,power,encrypt,military,bullock,asking,today,correction,child,surface,hulk,storage,usage,nazi,marketing,install,original,true,watch,require,temp,busines,seattle,button,accelerator,like,claim,peter
16,torque,franci,come,work,contact,rent,pistol,convert,rear,email,want,trip,source,become,darren,negative,station,spirit,simm,cdrom,sure,middle,info,flame,message,citizen,secret,include,government,isbn,studie,flight,annual,micro,measurement,azerbaijani,meat,device,mention,fact,pitch,wave,realistic,gotta,baltimore,create,provider,peace,start,michael
17,yank,steven,thing,microsoft,application,rubber,voyager,amiga,seat,mailing,cost,ring,command,post,module,hawk,pick,come,upgrade,world,look,east,tell,third,secret,private,american,sold,pres,list,children,lunar,mariner,scope,else,massacre,starter,software,english,point,playing,outlet,operational,western,north,using,amusing,fact,government,santa
18,fold,spell,face,system,volume,uart,leading,plot,head,question,last,telephone,read,sick,seller,clutch,phil,doctrine,slot,republic,many,adaptec,post,first,phone,amendment,french,excellent,public,polygon,women,degree,serie,lamp,method,population,beam,support,time,something,show,cycle,exception,education,serie,function,modify,clear,evidence,aluminum
19,mice,power,real,display,database,june,applicant,support,lock,archive,month,tone,type,music,norm,overall,within,religion,processor,mexico,still,harley,interest,goalie,patent,insurance,contest,company,house,archie,adult,rocket,photo,raster,henrik,children,simultaneous,slave,found,different,three,device,unknown,empty,loui,user,ideal,other,report,bruce
