,0,1,2,3,4
0,user,company,game,government,film
1,computer,sale,win,labour,good
2,phone,firm,play,party,music
3,software,market,player,election,award
4,system,growth,back,country,show
5,work,analyst,good,plan,include
6,service,high,club,tory,win
7,site,economy,team,claim,star
8,net,rise,match,tax,top
9,find,price,week,minister,movie
10,internet,report,world,budget,play
11,network,month,start,leader,director
12,call,expect,final,public,actor
13,website,mobile,break,issue,project
14,technology,oil,side,give,number
15,world,share,set,campaign,man
16,card,sell,injury,call,work
17,search,buy,half,rule,chart
18,information,big,add,change,release
19,mail,business,chance,spokesman,band
