,0,1,2,3,4,5,6,7,8,9
0,include,open,race,nation,injury,ban,ball,club,referee,premiership
1,company,seed,indoor,rugby,play,drug,minute,player,match,club
2,work,match,win,game,game,athlete,score,manager,player,chelsea
3,show,win,gold,player,nation,iaaf,goal,season,football,side
4,government,final,championship,side,week,body,kick,contract,game,football
5,add,play,medal,team,back,test,half,offer,happen,play
6,month,beat,olympic,play,miss,dope,side,add,ban,league
7,firm,round,finish,win,match,sprinter,penalty,summer,incident,team
8,give,australian,world,match,win,greek,yard,move,disciplinary,arsenal
9,good,tournament,athlete,back,flanker,decision,chance,transfer,kick,champion
10,high,game,final,squad,return,sport,lead,team,association,win
11,plan,world,compete,coach,half,thanou,game,football,action,goal
12,big,victory,run,international,side,trial,home,coach,speak,season
13,number,top,season,great,recover,miss,break,side,club,draw
14,market,set,title,wale,line,suspend,corner,future,team,cup
15,expect,champion,british,captain,hope,charge,save,premiership,coach,fourth
16,call,feel,champion,good,player,athletic,victory,give,comment,tie
17,part,title,good,victory,face,olympic,give,stay,win,good
18,report,slam,start,add,ankle,appeal,line,leave,add,player
19,week,number,man,lion,sideline,give,wide,deal,decision,game
