,0,1,2,3,4
0,sale,win,music,technology,government
1,market,game,show,user,labour
2,company,good,award,computer,party
3,growth,team,mobile,system,election
4,economy,play,service,software,country
5,firm,player,video,net,plan
6,rise,match,film,work,claim
7,price,back,phone,site,tory
8,analyst,team,game,service,tax
9,month,world,play,website,law
10,fall,final,chart,card,call
11,share,award,radio,phone,rule
12,expect,week,number,internet,leader
13,rate,start,industry,find,public
14,high,break,digital,speed,give
15,economic,side,top,search,minister
16,business,add,download,broadband,issue
17,buy,give,song,world,pay
18,big,set,band,firm,report
19,oil,injury,record,information,work
